orf_id	order_peaktime
CNAG_02300	142
CNAG_02413	285
CNAG_04183	143
CNAG_01572	322
CNAG_04828	819
CNAG_06104	394
CNAG_05605	395
CNAG_04245	144
CNAG_02963	396
CNAG_04728	323
CNAG_01818	324
CNAG_04157	397
CNAG_03516	286
CNAG_05419	1
CNAG_03125	398
CNAG_05033	287
CNAG_06087	399
CNAG_06839	325
CNAG_06687	400
CNAG_01145	401
CNAG_06118	402
CNAG_02051	403
CNAG_05591	922
CNAG_05109	326
CNAG_04089	145
CNAG_04479	404
CNAG_05455	2
CNAG_05565	405
CNAG_01903	406
CNAG_04788	407
CNAG_03716	288
CNAG_05003	923
CNAG_03212	408
CNAG_02154	409
CNAG_07817	410
CNAG_07807	820
CNAG_05391	411
CNAG_02864	3
CNAG_00869	412
CNAG_06603	327
CNAG_03305	413
CNAG_05979	146
CNAG_05876	414
CNAG_05822	328
CNAG_03473	415
CNAG_01620	416
CNAG_05726	417
CNAG_03447	418
CNAG_01816	289
CNAG_04697	419
CNAG_07824	4
CNAG_07990	329
CNAG_01915	5
CNAG_07959	420
CNAG_07669	330
CNAG_04090	1017
CNAG_03977	421
CNAG_02785	422
CNAG_03655	423
CNAG_00273	424
CNAG_05742	6
CNAG_05752	425
CNAG_07924	426
CNAG_00677	427
CNAG_03184	428
CNAG_01372	429
CNAG_00415	430
CNAG_00320	431
CNAG_06500	432
CNAG_03484	433
CNAG_00076	7
CNAG_00649	147
CNAG_00053	434
CNAG_04412	924
CNAG_03913	435
CNAG_03214	436
CNAG_05221	437
CNAG_03525	1018
CNAG_05053	438
CNAG_06335	439
CNAG_04642	440
CNAG_06336	331
CNAG_01285	441
CNAG_06148	442
CNAG_05153	8
CNAG_03657	443
CNAG_04936	444
CNAG_03368	445
CNAG_02060	821
CNAG_06010	148
CNAG_06819	9
CNAG_03966	446
CNAG_02394	822
CNAG_04104	1019
CNAG_05406	823
CNAG_07982	332
CNAG_06745	1020
CNAG_05516	447
CNAG_01656	10
CNAG_03715	448
CNAG_02896	1021
CNAG_00480	925
CNAG_06352	449
CNAG_03296	450
CNAG_00130	1022
CNAG_03993	451
CNAG_03477	452
CNAG_00009	453
CNAG_02840	333
CNAG_03815	454
CNAG_05853	455
CNAG_06832	824
CNAG_00274	456
CNAG_06050	1023
CNAG_03369	825
CNAG_01648	826
CNAG_06902	457
CNAG_01351	458
CNAG_03057	459
CNAG_07631	1024
CNAG_05499	460
CNAG_00118	461
CNAG_00179	827
CNAG_01279	462
CNAG_06747	1025
CNAG_00709	926
CNAG_05062	290
CNAG_01633	463
CNAG_04487	464
CNAG_06674	465
CNAG_04239	466
CNAG_05968	467
CNAG_06487	468
CNAG_04436	469
CNAG_07818	470
CNAG_03776	471
CNAG_00063	149
CNAG_06893	472
CNAG_02262	927
CNAG_04432	473
CNAG_02123	474
CNAG_02670	475
CNAG_03893	476
CNAG_07736	477
CNAG_01334	478
CNAG_01209	479
CNAG_00896	828
CNAG_07335	480
CNAG_03152	481
CNAG_05612	482
CNAG_01248	483
CNAG_01520	334
CNAG_04621	1026
CNAG_04696	11
CNAG_01333	484
CNAG_04825	485
CNAG_05702	486
CNAG_02157	487
CNAG_03168	150
CNAG_02073	12
CNAG_06746	1027
CNAG_05803	488
CNAG_05277	489
CNAG_06544	829
CNAG_01293	151
CNAG_04493	490
CNAG_04496	491
CNAG_02085	152
CNAG_06760	492
CNAG_03658	830
CNAG_01144	928
CNAG_06149	493
CNAG_03945	335
CNAG_00326	929
CNAG_02345	494
CNAG_05393	13
CNAG_03763	495
CNAG_03875	496
CNAG_05661	930
CNAG_04790	497
CNAG_03712	498
CNAG_02261	499
CNAG_05911	500
CNAG_04168	1028
CNAG_04224	501
CNAG_01909	502
CNAG_05009	503
CNAG_06067	504
CNAG_03044	831
CNAG_02384	931
CNAG_06545	505
CNAG_07511	14
CNAG_00078	506
CNAG_02291	507
CNAG_04514	508
CNAG_04227	509
CNAG_00991	15
CNAG_02759	832
CNAG_05732	16
CNAG_06019	510
CNAG_05252	17
CNAG_03367	511
CNAG_06364	1029
CNAG_02721	512
CNAG_03545	1030
CNAG_00744	1031
CNAG_04170	18
CNAG_04655	513
CNAG_03167	514
CNAG_02415	336
CNAG_01638	515
CNAG_00967	516
CNAG_02701	1032
CNAG_03592	153
CNAG_03649	517
CNAG_03172	518
CNAG_01369	519
CNAG_02854	1033
CNAG_06184	520
CNAG_06764	337
CNAG_03383	521
CNAG_05176	932
CNAG_03033	522
CNAG_06308	523
CNAG_03092	291
CNAG_02356	524
CNAG_04939	525
CNAG_01200	338
CNAG_01213	526
CNAG_03711	527
CNAG_05643	1034
CNAG_05699	528
CNAG_05446	933
CNAG_00442	19
CNAG_07659	833
CNAG_07661	1035
CNAG_06213	20
CNAG_02449	339
CNAG_05352	154
CNAG_00437	529
CNAG_03595	834
CNAG_03239	530
CNAG_05632	531
CNAG_02267	340
CNAG_03586	532
CNAG_04648	934
CNAG_07812	341
CNAG_05748	533
CNAG_01389	534
CNAG_05274	535
CNAG_00354	536
CNAG_05574	537
CNAG_07814	835
CNAG_02351	1036
CNAG_02943	1037
CNAG_00408	538
CNAG_07867	292
CNAG_01973	1038
CNAG_00110	539
CNAG_00122	540
CNAG_02563	935
CNAG_07431	155
CNAG_00660	541
CNAG_04528	542
CNAG_00327	543
CNAG_05312	544
CNAG_07415	836
CNAG_04824	545
CNAG_06590	546
CNAG_01078	156
CNAG_04291	547
CNAG_05309	1039
CNAG_05245	548
CNAG_04692	837
CNAG_04860	21
CNAG_02095	549
CNAG_01174	838
CNAG_05372	839
CNAG_05863	550
CNAG_07749	342
CNAG_01415	343
CNAG_00467	551
CNAG_06863	552
CNAG_04148	553
CNAG_04468	554
CNAG_00101	555
CNAG_03487	936
CNAG_04662	937
CNAG_07342	556
CNAG_03475	1040
CNAG_06286	1041
CNAG_01164	557
CNAG_02481	344
CNAG_06166	558
CNAG_00969	559
CNAG_01004	345
CNAG_07756	560
CNAG_01344	1042
CNAG_03130	561
CNAG_03374	938
CNAG_07608	157
CNAG_03651	1043
CNAG_07717	158
CNAG_06501	562
CNAG_02089	1044
CNAG_03075	22
CNAG_02697	159
CNAG_00090	563
CNAG_03453	564
CNAG_00770	939
CNAG_03458	23
CNAG_07627	565
CNAG_01916	940
CNAG_03037	566
CNAG_03656	567
CNAG_06174	160
CNAG_02490	24
CNAG_06344	840
CNAG_01907	568
CNAG_03116	569
CNAG_04153	841
CNAG_02504	570
CNAG_01438	941
CNAG_02508	571
CNAG_05576	572
CNAG_00681	573
CNAG_03002	1045
CNAG_06658	346
CNAG_05610	842
CNAG_06320	347
CNAG_05415	348
CNAG_03223	349
CNAG_06510	574
CNAG_03526	942
CNAG_01342	843
CNAG_02815	1046
CNAG_01023	161
CNAG_01602	575
CNAG_06483	576
CNAG_01425	577
CNAG_00423	844
CNAG_07015	578
CNAG_00398	579
CNAG_07552	25
CNAG_06647	26
CNAG_00861	350
CNAG_01316	27
CNAG_06949	1047
CNAG_06606	1048
CNAG_05513	845
CNAG_01880	351
CNAG_06573	943
CNAG_01827	580
CNAG_02161	293
CNAG_04736	581
CNAG_07686	28
CNAG_02366	352
CNAG_05217	582
CNAG_02999	583
CNAG_01704	846
CNAG_02222	1049
CNAG_05973	584
CNAG_01276	944
CNAG_04231	585
CNAG_05186	586
CNAG_05841	945
CNAG_03745	587
CNAG_01886	588
CNAG_04948	353
CNAG_06763	589
CNAG_07337	590
CNAG_03989	591
CNAG_02174	162
CNAG_07815	1050
CNAG_01670	592
CNAG_05164	163
CNAG_06086	593
CNAG_06686	29
CNAG_05390	594
CNAG_02771	164
CNAG_02550	1051
CNAG_00248	595
CNAG_01340	165
CNAG_04324	946
CNAG_07701	596
CNAG_00252	847
CNAG_02110	166
CNAG_03906	947
CNAG_05672	30
CNAG_07599	948
CNAG_05998	31
CNAG_00760	167
CNAG_07582	597
CNAG_05668	848
CNAG_06754	32
CNAG_06486	598
CNAG_01154	168
CNAG_04113	33
CNAG_00699	949
CNAG_02747	599
CNAG_03564	1052
CNAG_04221	169
CNAG_01566	600
