orf_id	5F	1C	4A	8H	2G	8G	5L	2K	6F	3D	7B
CNAG_00001	1.766583191	1.832031586	2.070341302	1.401501279	2.25983292	1.853061285	2.37712515	2.127540467	1.946071923	1.89027965	2.102372263
CNAG_00002	5.196330068	4.907666329	4.882078792	4.390911539	5.619202546	5.075731776	5.493509665	5.614099907	5.407374794	5.56117053	5.498366749
CNAG_00003	4.666052662	4.496036034	4.882078792	4.636085045	4.973034514	4.614520536	4.71600194	4.832861694	5.034206644	4.720426547	4.64898263
CNAG_00004	6.111241277	5.771784825	5.854312628	5.891305008	5.991620009	5.633863369	5.429014608	5.675487998	5.83030415	5.585079998	5.761302353
CNAG_00005	6.035596829	5.897322412	5.920927147	5.650969354	6.266506748	5.931203696	6.014187024	6.132758481	6.23671381	6.192574237	6.08623003
CNAG_00006	7.783274095	7.712178233	7.627442113	7.687753611	7.863924113	7.549922999	7.645237424	7.668818451	7.528424484	7.666040761	7.615534034
CNAG_00007	6.919747901	6.829122769	6.491469478	6.379888271	7.127644616	7.183221582	7.346673179	7.307192783	7.302783732	7.338474848	7.346796935
CNAG_00008	7.072854223	7.186516165	7.359724155	7.401030268	7.093520158	7.110042504	6.936023542	6.876711037	6.85637741	6.806234967	6.984519919
CNAG_00009	5.617105585	5.986019047	5.742114832	5.903064099	5.804192906	6.289330979	6.116506638	6.252702459	6.246628637	6.227716037	6.183950008
CNAG_00010	6.622337682	6.712157269	6.426082388	6.417268396	6.898375351	6.922921489	6.738854376	6.574592156	6.831560106	6.816370473	6.865735404
CNAG_00011	5.989782563	5.751686127	5.931736551	5.954825192	6.223877098	5.494719761	5.493509665	5.873097084	5.545505878	5.585079998	5.727305245
CNAG_00012	7.150093979	7.339591356	7.249562609	7.063927967	7.337139685	6.952640738	7.195221985	7.250686835	7.020239561	7.096167126	7.140702574
CNAG_00013	4.388535153	4.640444498	4.741712965	4.548953876	4.603435638	4.519958114	4.554667312	4.320706206	4.62988618	4.701801977	4.597795911
CNAG_00014	5.045257554	5.050833937	4.904200586	4.770540674	5.173018676	4.482835704	5.084442835	4.878328522	4.859147772	5.010057644	4.972930781
CNAG_00015	3.818672579	4.017418959	4.231177167	3.874260689	3.894935306	3.48403835	3.98680718	3.641609572	4.250854059	3.732031655	3.960337501
CNAG_00016	6.476782987	6.248245499	6.277233364	6.400774459	6.436377352	6.29826198	6.480768732	6.368755016	6.184028757	6.407039708	6.291665054
CNAG_00017	4.853940834	4.489115683	4.989444096	4.833343828	4.765777993	4.719312657	4.389036947	4.525106052	4.91989176	4.591464824	4.556689225
CNAG_00018	6.588583723	6.946182997	6.825812003	6.803445588	6.855966374	6.901982016	6.949610419	6.914788799	6.667067199	6.849180219	6.856086776
CNAG_00019	6.734620257	6.646808835	6.652055437	6.508614588	6.999771272	6.886667788	6.774408138	6.975325355	7.23367906	7.000352481	6.941826577
CNAG_00020	6.482307956	6.576728216	6.798021136	6.36720986	6.732155973	6.898462365	6.794122828	6.917211258	6.898491814	6.86181841	6.915358401
CNAG_00021	5.714212981	5.563565818	5.357328201	5.292630328	5.983124544	6.321227103	6.252073283	6.283072108	6.652225246	6.669151162	6.705721946
CNAG_00022	6.345515456	6.478820394	5.989782563	6.164754376	6.599496013	6.500625279	6.861795738	6.619911396	6.447390889	6.733219737	6.762347256
CNAG_00023	4.819434465	4.343243991	4.380667424	4.331235843	4.457749701	3.393591626	3.297118699	2.947747796	3.618001778	3.43403978	3.032283489
CNAG_00024	9.234743203	9.047134978	8.791505544	8.997519749	9.082914926	9.095622797	9.208134822	9.191551951	9.252709867	9.250795609	9.314008222
CNAG_00025	4.530405216	4.403373824	4.494402417	4.331235843	4.750842083	5.697356484	5.522890653	5.625996036	5.889720224	5.956364184	5.802074197
CNAG_00026	7.795161225	7.453293912	7.258176581	7.214260115	7.913946134	7.717753242	7.709736638	7.855963247	8.026556276	8.042970712	8.137126085
CNAG_00027	5.685760846	5.583195881	5.698475563	5.692216253	5.413291274	5.616829902	5.385691634	5.456478257	5.513014821	5.39334877	5.431723746
CNAG_00028	5.945135401	6.324092219	6.223263813	5.954825192	6.531208844	6.419454542	6.674854761	6.64497417	6.591281728	6.662745501	6.543864749
CNAG_00029	3.403126931	3.474976917	3.709847031	3.311546632	3.885849134	3.569147679	3.771142561	3.937282283	4.210898081	4.349707217	3.808525667
