orf_id	AMB_vs_CTRL_logFC	AMB_vs_CTRL_FDR	AMB+LF_vs_CTRL_logFC	AMB+LF_vs_CTRL_FDR
CNAG_00001	-0.245410420329879	0.416261554953589	-0.069053703513278	0.846407681627613
CNAG_00002	-0.411440974484659	0.199971640348846	-0.351527003595329	0.328906212917426
CNAG_00003	-0.034410996001182	0.858409694323021	0.00633505385945	0.978569757548692
CNAG_00004	0.336837041329099	0.034961650425096	0.213974359451905	0.194313527035128
CNAG_00005	-0.076139855831707	0.663964657553489	-0.179605738448913	0.357716227679734
CNAG_00006	0.086926032271766	0.400514627343184	0.174483379403801	0.14348785130333
CNAG_00007	-0.523096474683624	0.02573486634244	-0.526769956863978	0.042453061920297
CNAG_00008	0.233722956969708	0.104574211282249	0.37094064052369	0.032026901026537
CNAG_00009	-0.432805000295684	0.00699268074382	-0.366733737693022	0.026283082501159
CNAG_00010	-0.161069727637307	0.331112494063913	-0.159254698955909	0.397850386540351
CNAG_00011	0.263218513873992	0.111925467667372	0.476643478592545	0.020316565037021
CNAG_00012	0.110292108969604	0.396704362297008	0.121088320744041	0.411947734371601
CNAG_00013	0.13078214653955	0.373951154390609	-0.066995737374396	0.692186000755005
CNAG_00014	0.168790134469746	0.387592428548573	0.040520612205999	0.86070071444986
CNAG_00015	0.320760478462829	0.156318586599194	-0.114503906285871	0.650475430202491
CNAG_00016	-0.046749379001925	0.699247082109698	0.122162126723056	0.360854736039555
CNAG_00017	0.241453149074265	0.215610098983148	0.101283214246659	0.645229290032286
CNAG_00018	-0.127916565959691	0.297605981119454	0.036755100050847	0.798287271496522
CNAG_00019	-0.203311454196445	0.202228467450296	-0.288408463737245	0.118853612967581
CNAG_00020	-0.246414724578411	0.085675972471159	-0.330445773851112	0.049629791199207
CNAG_00021	-0.735885056621918	0.003806919107796	-0.996242524137399	0.001837209335864
CNAG_00022	-0.383088994045919	0.070009205149153	-0.255140359709323	0.262157818370983
CNAG_00023	1.3243530081001	0.000826705337015	1.0322234866289	0.003570574724816
CNAG_00024	-0.130192263413227	0.330440355560605	-0.23201073244987	0.136381527897614
CNAG_00025	-1.14790276460083	0.000181175458839	-1.33066092093976	0.00016644016532
CNAG_00026	-0.243520848386924	0.257183946017489	-0.463147856733632	0.072895671227109
CNAG_00027	0.16714718732195	0.199869178181035	0.111394796274885	0.446553905282644
CNAG_00028	-0.411821659717408	0.041322577079851	-0.327031320298349	0.129358611004123
CNAG_00029	-0.235038668601435	0.333419060570436	-0.508898826371504	0.076269331809049
CNAG_00030	-0.124757157601715	0.489375117223314	-0.48499087206568	0.031796307060732
CNAG_00031	-0.240339266552053	0.08569700079019	-0.117491992948263	0.437708163480882
CNAG_00032	0.148880399050963	0.57008099374852	-0.071466026510019	0.805548759764485
CNAG_00033	0.654311112024116	0.213734919789298	-0.057163660731547	0.924045916839945
CNAG_00034	-0.402774151438014	0.029917281422369	-0.496406068610673	0.022273932811567
CNAG_00035	0.384033196026151	0.095961419311493	0.194841619024454	0.440463798018571
CNAG_00036	0.573633709674539	0.111068449986915	1.00757894341321	0.023457719791648
CNAG_00038	-0.116558155340872	0.341458572042709	-0.110429281866707	0.42842503885831
CNAG_00039	-0.36552115103204	0.055026520840789	-0.362876278903514	0.085649567049259
CNAG_00040	-0.643971327223251	0.008557799845005	-1.07965253558365	0.001663744673823
CNAG_00043	0.867955392748236	0.000651597618125	0.923578385141136	0.000758513151808
CNAG_00044	0.919969847550009	0.000459727322764	1.04839032184955	0.000407491080861
CNAG_00045	0.312297714437944	0.064595940725787	0.225298692258883	0.211897999123769
CNAG_00046	-0.274646778583287	0.043870042887353	-0.199829756279531	0.167137183273915
CNAG_00047	2.03218624129871	3.79E-06	2.08760963063548	7.32E-06
CNAG_00048	0.467119335289729	0.057811915086832	0.41494482296168	0.11549939284536
CNAG_00049	0.101097769137581	0.601130290260737	-0.110142062597293	0.616311792523612
CNAG_00050	1.03106491186511	0.000168845032576	1.16374841800448	0.000141412971662
CNAG_00051	0.211783816172444	0.128380617681993	0.24955675956414	0.113387408173096
CNAG_00052	3.02751709072807	0.003088125609325	4.20953116268659	0.001249103812714
CNAG_00053	-0.936195793790535	0.001998145992438	-1.2048906777682	0.001280324710805
CNAG_00054	3.22641129588394	0.001671421487679	3.73121160932269	0.001283023089196
CNAG_00055	0.103924317220516	0.623466815008743	0.366965487014629	0.128353961111558
CNAG_00056	-0.173168031765916	0.107526863661483	-0.038403591039458	0.752771436538191
CNAG_00057	1.96930382385467	0.000233908096425	2.40208156788988	0.0001263537004
CNAG_00058	-0.627980093444197	0.004216775628434	-0.565579329140504	0.012669817017765
CNAG_00059	-1.22198559893024	0.002633549659191	-1.07161421748516	0.008092425736622
CNAG_00060	0.175051224261428	0.222230594002929	0.272387076030532	0.102184613491262
CNAG_00061	1.36760770354178	4.10E-05	1.4823074500198	5.06E-05
CNAG_00062	-0.366001461399359	0.019320916481423	-0.276024435098233	0.088623308045398
