orf_id	1C	2G	2K	3D	4A	5A	5F	5L	6F	7B	8G	8H
CNAG_00001	31	49	41	31	35	45	28	43	35	42	35	20
CNAG_00002	276	524	481	417	257	233	320	387	406	463	345	171
CNAG_00003	207	334	279	232	257	201	221	225	313	256	250	203
CNAG_00004	504	679	502	424	506	605	605	370	545	556	509	487
CNAG_00005	550	822	690	647	530	422	574	556	723	697	626	412
CNAG_00006	1940	2492	2005	1800	1734	1999	1932	1726	1773	2016	1927	1696
CNAG_00007	1051	1495	1560	1434	788	503	1061	1403	1516	1673	1494	684
CNAG_00008	1347	1460	1157	991	1440	1773	1180	1055	1112	1301	1420	1390
CNAG_00009	585	596	750	663	468	570	429	597	728	746	803	491
CNAG_00010	969	1275	938	998	753	394	863	920	1093	1198	1247	702
CNAG_00011	497	798	576	424	534	632	556	387	447	543	462	509
CNAG_00012	1498	1729	1500	1212	1334	1057	1245	1263	1246	1450	1273	1100
CNAG_00013	229	258	195	229	233	278	182	201	236	247	234	191
CNAG_00014	305	384	288	284	261	298	288	291	277	321	228	223
CNAG_00015	148	157	121	116	163	175	122	135	181	158	113	119
CNAG_00016	702	925	813	751	679	790	780	769	697	804	808	694
CNAG_00017	206	289	225	212	277	226	252	179	289	240	269	233
CNAG_00018	1140	1238	1188	1021	994	933	843	1065	975	1190	1229	918
CNAG_00019	926	1368	1239	1134	881	614	933	943	1445	1263	1216	748
CNAG_00020	882	1136	1190	1030	975	498	783	956	1145	1240	1226	678
CNAG_00021	436	675	766	901	358	214	459	656	965	1072	821	321
CNAG_00022	824	1036	968	942	556	709	712	1002	837	1115	930	589
CNAG_00023	186	233	74	94	181	322	246	83	116	82	106	164
CNAG_00024	4897	5804	5765	5403	3888	4908	5287	5103	5863	6548	5630	4207
CNAG_00025	194	286	485	549	196	217	201	395	568	572	532	164
CNAG_00026	1621	2580	2283	2338	1342	851	1948	1805	2505	2895	2165	1221
CNAG_00027	442	454	431	371	454	593	450	359	437	442	503	424
CNAG_00028	740	988	985	897	654	378	539	880	925	958	879	509
CNAG_00029	101	156	149	179	113	61	91	116	176	142	120	80
CNAG_00030	96	119	115	118	80	74	104	89	136	146	125	71
CNAG_00031	410	557	455	448	326	267	348	418	499	509	499	339
CNAG_00032	61	81	60	63	48	62	45	50	76	68	38	50
CNAG_00033	11	22	8	12	17	10	15	14	19	14	7	7
CNAG_00034	15992	23882	23723	23426	14202	10098	16700	19988	25384	26969	22811	12379
CNAG_00035	81	111	84	59	103	88	92	62	84	81	82	60
CNAG_00036	354	313	313	251	468	1056	540	286	238	234	390	599
CNAG_00038	493	638	646	522	476	489	514	517	566	627	562	417
CNAG_00039	335	458	488	495	390	344	407	439	624	499	650	370
CNAG_00040	1340	1750	1935	2543	970	1559	1270	1876	2567	2940	2176	832
CNAG_00043	1079	1104	671	558	1099	1662	945	590	554	659	567	1074
CNAG_00044	2424	2456	1428	1069	2371	3618	2324	1190	1207	1504	1424	2566
CNAG_00045	235	225	188	169	213	286	165	157	165	201	184	185
CNAG_00046	1586	2174	2231	1923	1513	1389	1585	1838	1898	2163	2007	1311
CNAG_00047	1355	1344	315	302	1319	1977	1276	329	331	311	391	1270
