"Entry" "orf_id"
"1" "Q56R42" "CNAG_01523"
"2" "J9VIG8" "CNAG_03701"
"3" "Q9P8P2" "CNAG_06085"
"4" "Q8TG24" "CNAG_04215"
"5" "J9W453" "CNAG_05583"
"6" "Q58Z64" "CNAG_01537"
"7" "J9VJ99" "CNAG_03981"
"8" "P27710" "CNAG_04501"
"9" "Q6SSJ3" "CNAG_00268"
"10" "Q6URB0" "CNAG_01138"
"11" "O42773" "CNAG_04796"
"12" "J9VHN5" "CNAG_02780"
"13" "O13465" "CNAG_05540"
"14" "J9VNZ1" "CNAG_00991"
"15" "O93927" "CNAG_06508"
"16" "J9VQ51" "CNAG_02296"
"17" "J9VGJ7" "CNAG_00316"
"18" "O13356" "CNAG_03099"
"19" "J9VVB2" "CNAG_02007"
"20" "J9VXM5" "CNAG_05581"
"21" "J9VSX3" "CNAG_04676"
"22" "J9VXV1" "CNAG_04792"
"23" "J9VZB8" "CNAG_01792"
"24" "J9VY90" "CNAG_03465"
"25" "P82476" "CNAG_01239"
"26" "J9VQ03" "CNAG_07413"
"27" "J9VLN4" "CNAG_00979"
"28" "Q8X226" "CNAG_07937"
"29" "Q8NKE2" "CNAG_00162"
"30" "O94746" "CNAG_03682"
"31" "P48465" "CNAG_00483"
"32" "Q873N0" "CNAG_04187"
"33" "Q9HF03" "CNAG_00694"
"34" "J9VQZ4" "CNAG_03464"
"35" "Q85T01" "CNAG_09006"
"36" "J9VQB3" "CNAG_03196"
"37" "P0C017" "CNAG_02294"
"38" "J9VL79" "CNAG_03853"
"39" "J9W1Y5" "CNAG_01924"
"40" "J9VME2" "CNAG_06868"
"41" "J9VPZ2" "CNAG_03311"
"42" "J9VTW5" "CNAG_01497"
"43" "J9VN46" "CNAG_02141"
"44" "J9VIK9" "CNAG_03746"
"45" "T2BQH3" "CNAG_07958"
"46" "J9VLT0" "CNAG_02417"
"47" "J9VXN4" "CNAG_01982"
"48" "J9VZ93" "CNAG_04329"
"49" "J9VIZ4" "CNAG_07359"
"50" "J9VUC0" "CNAG_01847"
"51" "J9VGU3" "CNAG_00439"
"52" "J9VJB5" "CNAG_05053"
"53" "J9VJJ1" "CNAG_00655"
"54" "J9VG75" "CNAG_03625"
"55" "J9VHZ9" "CNAG_07460"
"56" "J9VN04" "CNAG_06729"
"57" "J9VUX8" "CNAG_06055"
"58" "J9W155" "CNAG_07943"
"59" "J9VYP4" "CNAG_01569"
"60" "J9VIZ9" "CNAG_00437"
"61" "J9VJ97" "CNAG_00542"
"62" "J9VWN6" "CNAG_05801"
"63" "J9VMW0" "CNAG_06532"
"64" "J9W3C1" "CNAG_06446"
"65" "J9W4A7" "CNAG_05649"
"66" "J9VRZ0" "CNAG_05190"
"67" "J9VS97" "CNAG_05965"
"68" "J9VUD5" "CNAG_01669"
"69" "J9VV10" "CNAG_03182"
"70" "J9VIE9" "CNAG_03681"
"71" "J9VUJ4" "CNAG_05973"
"72" "T2BPD3" "CNAG_07994"
"73" "J9VJV1" "CNAG_02981"
"74" "J9VJD0" "CNAG_05291"
"75" "J9VKE6" "CNAG_00036"
"76" "T2BPB4" "CNAG_03313"
"77" "J9VTV2" "CNAG_05706"
"78" "J9W1A2" "CNAG_01650"
"79" "J9VXN9" "CNAG_03230"
"80" "J9VH37" "CNAG_03968"
"81" "J9VIC4" "CNAG_02774"
"82" "J9VM33" "CNAG_00627"
"83" "J9VXP7" "CNAG_05609"
"84" "J9VTP5" "CNAG_03567"
"85" "J9W4C6" "CNAG_09003"
"86" "J9VUD9" "CNAG_04280"
"87" "J9VLG0" "CNAG_05022"
"88" "T2BQM2" "CNAG_03713"
"89" "J9VTH4" "CNAG_01552"
"90" "J9VHW5" "CNAG_00840"
"91" "J9VT34" "CNAG_04598"
"92" "J9VTE9" "CNAG_01527"
"93" "T2BP99" "CNAG_03199"
"94" "J9VM43" "CNAG_05236"
"95" "J9VXI8" "CNAG_03168"
"96" "J9VHI6" "CNAG_00716"
"97" "J9VUT7" "CNAG_05999"
"98" "J9VI86" "CNAG_06901"
"99" "J9VI58" "CNAG_06723"
"100" "J9VXV0" "CNAG_06008"
"101" "J9VUG2" "CNAG_04310"
"102" "J9VF18" "CNAG_00776"
"103" "J9VNT3" "CNAG_07444"
"104" "J9VG46" "CNAG_06716"
"105" "J9VTP9" "CNAG_01052"
"106" "J9VW19" "CNAG_06201"
"107" "J9VW49" "CNAG_06470"
"108" "J9VKA7" "CNAG_04548"
"109" "J9VKR3" "CNAG_02676"
"110" "T2BPX5" "CNAG_06249"
"111" "J9VMC9" "CNAG_02933"
"112" "J9VQB0" "CNAG_03442"
"113" "J9VGM0" "CNAG_00347"
"114" "J9VR14" "CNAG_01097"
"115" "J9VH22" "CNAG_03948"
"116" "J9VHR7" "CNAG_02727"
"117" "J9VKE9" "CNAG_01211"
"118" "J9VSB4" "CNAG_05980"
"119" "J9VSE8" "CNAG_07402"
"120" "J9VV59" "CNAG_01948"
"121" "J9VXA7" "CNAG_04540"
"122" "J9VY64" "CNAG_03431"
"123" "J9VFZ7" "CNAG_03790"
"124" "J9VT86" "CNAG_01236"
"125" "J9VZ45" "CNAG_06501"
"126" "T2BNE1" "CNAG_05018"
"127" "T2BMK7" "CNAG_02510"
"128" "J9VNY4" "CNAG_06658"
"129" "J9VTE8" "CNAG_04690"
"130" "J9VQI8" "CNAG_03517"
"131" "J9VW09" "CNAG_04613"
"132" "J9VWE1" "CNAG_05370"
"133" "J9VX54" "CNAG_07888"
"134" "J9VDY8" "CNAG_00372"
"135" "J9VLP6" "CNAG_05101"
"136" "T2BN02" "CNAG_03192"
"137" "J9VL39" "CNAG_03823"
"138" "J9VUP0" "CNAG_03110"
"139" "J9VN33" "CNAG_02696"
"140" "T2BNP7" "CNAG_08019"
"141" "J9VVE3" "CNAG_03359"
"142" "J9VVG7" "CNAG_07915"
"143" "J9VY56" "CNAG_03421"
"144" "J9VIU2" "CNAG_05102"
"145" "J9VJB9" "CNAG_00568"
"146" "J9VHH7" "CNAG_00706"
"147" "J9VQ17" "CNAG_02338"
"148" "J9VM80" "CNAG_02482"
"149" "J9VNH7" "CNAG_01178"
"150" "J9W3F5" "CNAG_06494"
"151" "T2BNJ3" "CNAG_01820"
"152" "J9VVB1" "CNAG_04860"
"153" "J9VX21" "CNAG_01723"
"154" "J9VXS4" "CNAG_06938"
"155" "J9W2Q7" "CNAG_06173"
"156" "J9VM78" "CNAG_05273"
"157" "J9VS50" "CNAG_05921"
"158" "T2BNV7" "CNAG_07456"
"159" "J9VPT5" "CNAG_02433"
"160" "J9VMD1" "CNAG_02183"
"161" "J9VEN4" "CNAG_00363"
"162" "J9VGG9" "CNAG_03977"
"163" "J9VMA1" "CNAG_05295"
"164" "J9VT51" "CNAG_04803"
"165" "J9VTY9" "CNAG_01678"
"166" "J9VFF3" "CNAG_06722"
"167" "J9VW07" "CNAG_06424"
"168" "J9VSA4" "CNAG_04874"
"169" "J9VZY8" "CNAG_04882"
"170" "J9VW34" "CNAG_06453"
"171" "J9VZ01" "CNAG_04207"
"172" "T2BQ47" "CNAG_05479"
"173" "J9VNI6" "CNAG_01169"
"174" "J9W008" "CNAG_07898"
"175" "T2BNZ4" "CNAG_02160"
"176" "J9W0R5" "CNAG_06312"
"177" "J9VSX1" "CNAG_03270"
"178" "J9VVQ1" "CNAG_06114"
"179" "J9VJG9" "CNAG_06877"
"180" "J9VM00" "CNAG_02332"
"181" "J9VNX4" "CNAG_01011"
"182" "J9VP98" "CNAG_05758"
"183" "J9W2M7" "CNAG_06148"
"184" "J9VTX8" "CNAG_01513"
"185" "T2BNI1" "CNAG_02756"
"186" "J9VHR1" "CNAG_00016"
"187" "T2BNK3" "CNAG_01940"
