go_id	evidence	orf_id
GO:0006164	IEA	ADE2
GO:0006189	IEA	ADE2
GO:0008652	IEA	ADI1
GO:0009086	IEA	ADI1
GO:0019509	IEA	ADI1
GO:0055114	IEA	ADI1
GO:0006139	IEA	ADK1
GO:0006172	IEA	ADK1
GO:0016310	IEA	ADK1
GO:0046033	IEA	ADK1
GO:0046034	IEA	ADK1
GO:0046940	IEA	ADK1
GO:0006139	IEA	ADK2
GO:0006172	IEA	ADK2
GO:0016310	IEA	ADK2
GO:0046033	IEA	ADK2
GO:0046039	IEA	ADK2
GO:0046041	IEA	ADK2
GO:0046940	IEA	ADK2
GO:0006412	IEA	ALA1
GO:0006419	IEA	ALA1
GO:0043039	IEA	ALA1
GO:0070143	IEA	ALA1
GO:0006488	IEA	ALG13
GO:0006488	IEA	ALG14
GO:0055114	IEA	AOX1
GO:0015986	IEA	ATP6
GO:0006569	IEA	BNA1
GO:0009435	IEA	BNA1
GO:0019363	IEA	BNA1
GO:0019805	IEA	BNA1
GO:0034354	IEA	BNA1
GO:0043420	IEA	BNA1
GO:0055114	IEA	BNA1
GO:0006569	IEA	BNA4
GO:0009435	IEA	BNA4
GO:0019363	IEA	BNA4
GO:0019805	IEA	BNA4
GO:0034354	IEA	BNA4
GO:0043420	IEA	BNA4
GO:0055114	IEA	BNA4
GO:0006569	IEA	BNA5
GO:0009435	IEA	BNA5
GO:0019363	IEA	BNA5
GO:0019805	IEA	BNA5
GO:0034354	IEA	BNA5
GO:0043420	IEA	BNA5
GO:0097053	IEA	BNA5
GO:0055114	IEA	CAS1
GO:0006979	IEA	CCP1
GO:0055114	IEA	CCP1
GO:0098869	IEA	CCP1
GO:0016226	IEA	CFD1
GO:0071555	IEA	CHS1
GO:0071555	IEA	CHS3
GO:0016226	IEA	CIA1
GO:0006396	IEA	CLF1
GO:0006397	IEA	CLF1
GO:0008380	IEA	CLF1
GO:0006397	IEA	CLP1
GO:0031124	IEA	CLP1
GO:0007005	IEA	CLU1
GO:0048312	IEA	CLU1
GO:0006470	IEA	CNA1
GO:0071277	IEA	CNA1
GO:0071852	IEA	CNA1
GO:0097720	IEA	CNA1
GO:0140281	IEA	CNA1
GO:1903473	IEA	CNA1
GO:1905949	IEA	CNA1
GO:0006508	ND	CNAG_00002
GO:0008152	IEA	CNAG_00002
GO:0015696	ND	CNAG_00003
GO:0055085	IEA	CNAG_00003
GO:0006351	IEA	CNAG_00004
GO:0008150	ND	CNAG_00005
GO:0000001	IMP	CNAG_00006
GO:0001302	IMP	CNAG_00006
GO:0006457	IDA	CNAG_00006
GO:0045861	IMP	CNAG_00006
GO:0006412	IEA	CNAG_00007
GO:0006418	IEA	CNAG_00007
GO:0006431	IBA	CNAG_00007
GO:0000321	IGI	CNAG_00008
GO:0000768	IEA	CNAG_00008
GO:0000909	IEA	CNAG_00008
GO:0007033	IEA	CNAG_00008
GO:0007049	IEA	CNAG_00008
GO:0016239	IMP	CNAG_00008
GO:0030437	IEA	CNAG_00008
GO:0031030	IEA	CNAG_00008
GO:0031573	IMP	CNAG_00008
GO:0060631	IEA	CNAG_00008
GO:0061509	IEA	CNAG_00008
GO:0006886	ND	CNAG_00009
GO:0048208	ND	CNAG_00009
GO:0051592	ND	CNAG_00009
GO:0030001	IEA	CNAG_00010
GO:0055085	IEA	CNAG_00010
GO:1903830	ND	CNAG_00010
GO:0019441	IEA	CNAG_00011
GO:0008150	ND	CNAG_00012
GO:0008152	ND	CNAG_00012
GO:0055114	IEA	CNAG_00012
GO:0000398	ND	CNAG_00016
GO:0000956	TAS	CNAG_00016
GO:0006364	IEA	CNAG_00016
GO:0006397	IEA	CNAG_00016
GO:0008033	IEA	CNAG_00016
GO:0008150	ND	CNAG_00016
GO:0008380	IEA	CNAG_00016
GO:0016071	ND	CNAG_00016
GO:0006355	IEA	CNAG_00017
GO:0045944	ND	CNAG_00017
GO:0006351	IEA	CNAG_00018
GO:0006355	IEA	CNAG_00018
GO:0006357	IEA	CNAG_00018
GO:0006626	ND	CNAG_00019
GO:0015031	IEA	CNAG_00019
GO:0040009	IEA	CNAG_00019
GO:0045039	IDA	CNAG_00019
GO:0045039	IEA	CNAG_00019
GO:0045040	IEA	CNAG_00019
GO:0006886	IBA	CNAG_00020
GO:0008150	ND	CNAG_00020
GO:0006557	IEA	CNAG_00021
GO:0006596	IEA	CNAG_00021
GO:0006597	IBA	CNAG_00021
GO:0008295	IBA	CNAG_00021
GO:0015940	IMP	CNAG_00021
GO:0000909	IEA	CNAG_00022
GO:0007005	ND	CNAG_00022
GO:0009060	IEA	CNAG_00022
GO:0018063	IBA	CNAG_00022
GO:0044182	IEA	CNAG_00022
GO:0008150	ND	CNAG_00023
GO:0009405	IMP	CNAG_00025
GO:0051592	IMP	CNAG_00025
GO:0055085	IEA	CNAG_00025
GO:0070588	ND	CNAG_00025
GO:0006725	ND	CNAG_00026
GO:0009058	IEA	CNAG_00026
GO:0019752	ND	CNAG_00026
GO:0034276	IDA	CNAG_00026
GO:0097053	IEA	CNAG_00026
GO:0006355	IEA	CNAG_00027
GO:0006357	IEA	CNAG_00027
GO:0055085	IEA	CNAG_00028
GO:0006564	IEA	CNAG_00029
GO:0008152	IEA	CNAG_00029
GO:0008652	IEA	CNAG_00029
GO:0009070	IBA	CNAG_00029
GO:0055114	IEA	CNAG_00029
GO:0006351	IEA	CNAG_00031
GO:0006355	IEA	CNAG_00031
GO:0006357	IEA	CNAG_00031
GO:0042438	IMP	CNAG_00031
GO:0006725	ND	CNAG_00032
GO:0006725	IEA	CNAG_00032
GO:0002181	IBA	CNAG_00034
GO:0006412	IEA	CNAG_00034
GO:0006355	ND	CNAG_00035
GO:0006355	IEA	CNAG_00035
GO:0006810	ND	CNAG_00036
GO:0006896	IGI	CNAG_00036
GO:0015031	IEA	CNAG_00036
GO:0015914	IDA	CNAG_00036
GO:0030437	IMP	CNAG_00036
GO:0031322	IEA	CNAG_00036
GO:0043001	IMP	CNAG_00036
GO:0046488	IGI	CNAG_00036
GO:0048193	IEA	CNAG_00036
GO:0048194	IDA	CNAG_00036
GO:1901352	IMP	CNAG_00036
GO:2001246	IDA	CNAG_00036
GO:0008152	ND	CNAG_00038
GO:0055114	IEA	CNAG_00038
GO:0006118	ND	CNAG_00040
GO:0006629	IEA	CNAG_00040
GO:0006694	IEA	CNAG_00040
GO:0006696	IBA	CNAG_00040
GO:0008202	IEA	CNAG_00040
GO:0016125	IBA	CNAG_00040
GO:0016126	IBA	CNAG_00040
GO:0032259	IEA	CNAG_00040
GO:0042493	IMP	CNAG_00040
GO:0055114	IBA	CNAG_00040
GO:0070988	IEA	CNAG_00040
GO:0006412	ND	CNAG_00044
GO:0042254	IEA	CNAG_00044
GO:0042256	IBA	CNAG_00044
GO:0006325	IEA	CNAG_00045
GO:0008150	ND	CNAG_00045
GO:0006511	TAS	CNAG_00046
GO:0016579	ND	CNAG_00046
GO:0031145	ND	CNAG_00046
GO:0035690	IEA	CNAG_00046
GO:0043161	IBA	CNAG_00046
GO:0043488	ND	CNAG_00046
GO:0055085	ND	CNAG_00046
GO:0006468	IEA	CNAG_00047
GO:0007165	ND	CNAG_00047
GO:0016310	IEA	CNAG_00047
GO:0018106	ND	CNAG_00047
GO:0035690	IEA	CNAG_00047
GO:0008643	IEA	CNAG_00048
GO:0055085	IEA	CNAG_00048
GO:0009264	IEA	CNAG_00050
GO:0016311	IEA	CNAG_00050
GO:0000122	IBA	CNAG_00051
GO:0006355	IMP	CNAG_00051
GO:0008150	ND	CNAG_00051
GO:0016575	IDA	CNAG_00051
GO:0032874	IMP	CNAG_00051
GO:0008150	ND	CNAG_00054
GO:0006355	IEA	CNAG_00055
GO:0008150	ND	CNAG_00056
GO:0005975	IEA	CNAG_00057
GO:0005986	IBA	CNAG_00057
GO:0006000	IBA	CNAG_00057
GO:0006002	IBA	CNAG_00057
GO:0006094	IBA	CNAG_00057
GO:0008152	IEA	CNAG_00057
GO:0016311	IEA	CNAG_00057
GO:0030388	IBA	CNAG_00057
GO:0072593	IMP	CNAG_00057
GO:0006457	IDA	CNAG_00058
GO:0044267	IEA	CNAG_00058
GO:0006457	ISS	CNAG_00060
GO:0009408	IEA	CNAG_00060
