go_id	evidence	orf_id
GO:0005634	IEA	ADI1
GO:0005737	IEA	ADI1
GO:0005737	IEA	ADK1
GO:0005739	IEA	ADK1
GO:0005758	IEA	ADK1
GO:0005829	IEA	ADK1
GO:0005739	IEA	ADK2
GO:0005759	IEA	ADK2
GO:0005739	IEA	AIM41
GO:0005737	IEA	ALA1
GO:0005739	IEA	ALA1
GO:0005783	IEA	ALG13
GO:0005783	IEA	ALG14
GO:0005789	IEA	ALG14
GO:0016020	IEA	ALG14
GO:0016021	IEA	ALG14
GO:0005739	IEA	AOX1
GO:0005743	IEA	AOX1
GO:0016020	IEA	AOX1
GO:0016021	IEA	AOX1
GO:0070469	IEA	AOX1
GO:0005739	IEA	ATP6
GO:0005743	IEA	ATP6
GO:0016020	IEA	ATP6
GO:0016021	IEA	ATP6
GO:0045263	IEA	ATP6
GO:0005737	IEA	BNA1
GO:0005739	IEA	BNA4
GO:0005741	IEA	BNA4
GO:0016020	IEA	BNA4
GO:0016021	IEA	BNA4
GO:0031966	IEA	BNA4
GO:0005737	IEA	BNA5
GO:0016020	IEA	CAS1
GO:0016021	IEA	CAS1
GO:0005739	IEA	CCP1
GO:0005759	IEA	CCP1
GO:0005737	IEA	CFD1
GO:0005886	IEA	CHS1
GO:0016020	IEA	CHS1
GO:0016021	IEA	CHS1
GO:0005886	IEA	CHS3
GO:0016020	IEA	CHS3
GO:0016021	IEA	CHS3
GO:0097361	IEA	CIA1
GO:0000974	IEA	CLF1
GO:0005634	IEA	CLF1
GO:0005681	IEA	CLF1
GO:0071014	IEA	CLF1
GO:0005634	IEA	CLP1
GO:0005849	IEA	CLP1
GO:0005737	IEA	CLU1
GO:0005737	IEA	CNA1
GO:0005826	IEA	CNA1
GO:0032153	IEA	CNA1
GO:0120105	IEA	CNA1
GO:0005575	ND	CNAG_00002
GO:0016020	IEA	CNAG_00003
GO:0016021	IEA	CNAG_00003
GO:0005634	IEA	CNAG_00004
GO:0005575	ND	CNAG_00005
GO:0005739	HDA	CNAG_00006
GO:0005743	IDA	CNAG_00006
GO:0005886	IEA	CNAG_00006
GO:0016020	IEA	CNAG_00006
GO:0016021	IEA	CNAG_00006
GO:1990429	IDA	CNAG_00006
GO:0005737	IEA	CNAG_00007
GO:0005739	HDA	CNAG_00007
GO:0005759	IEA	CNAG_00007
GO:0000138	IDA	CNAG_00008
