go_id	evidence	orf_id
GO:0000166	IEA	ADE2
GO:0004638	IEA	ADE2
GO:0005524	IEA	ADE2
GO:0016829	IEA	ADE2
GO:0016831	IEA	ADE2
GO:0043727	IEA	ADE2
GO:0046872	IEA	ADE2
GO:0005506	IEA	ADI1
GO:0010309	IEA	ADI1
GO:0016491	IEA	ADI1
GO:0046872	IEA	ADI1
GO:0051213	IEA	ADI1
GO:0000166	IEA	ADK1
GO:0004017	IEA	ADK1
GO:0005524	IEA	ADK1
GO:0016301	IEA	ADK1
GO:0016740	IEA	ADK1
GO:0016776	IEA	ADK1
GO:0019205	IEA	ADK1
GO:0000166	IEA	ADK2
GO:0004017	IEA	ADK2
GO:0005524	IEA	ADK2
GO:0005525	IEA	ADK2
GO:0016301	IEA	ADK2
GO:0016740	IEA	ADK2
GO:0016776	IEA	ADK2
GO:0019205	IEA	ADK2
GO:0046899	IEA	ADK2
GO:0016884	IEA	AIM41
GO:0000049	IEA	ALA1
GO:0000166	IEA	ALA1
GO:0003676	IEA	ALA1
GO:0003723	IEA	ALA1
GO:0004812	IEA	ALA1
GO:0004813	IEA	ALA1
GO:0005524	IEA	ALA1
GO:0008270	IEA	ALA1
GO:0016874	IEA	ALA1
GO:0046872	IEA	ALA1
GO:0004577	IEA	ALG13
GO:0016740	IEA	ALG13
GO:0016757	IEA	ALG13
GO:0016758	IEA	ALG13
GO:0016740	IEA	ALG14
GO:0009916	IEA	AOX1
GO:0016491	IEA	AOX1
GO:0046872	IEA	AOX1
GO:0015078	IEA	ATP6
GO:0000334	IEA	BNA1
GO:0005506	IEA	BNA1
GO:0008198	IEA	BNA1
GO:0016491	IEA	BNA1
GO:0046872	IEA	BNA1
GO:0051213	IEA	BNA1
GO:0004497	IEA	BNA4
GO:0004502	IEA	BNA4
GO:0016491	IEA	BNA4
GO:0050660	IEA	BNA4
GO:0071949	IEA	BNA4
GO:0003824	IEA	BNA5
GO:0016787	IEA	BNA5
GO:0030170	IEA	BNA5
GO:0030429	IEA	BNA5
GO:0016491	IEA	CAS1
GO:0016740	IEA	CAS1
GO:0004130	IEA	CCP1
GO:0004601	IEA	CCP1
GO:0016491	IEA	CCP1
GO:0020037	IEA	CCP1
GO:0046872	IEA	CCP1
GO:0000166	IEA	CFD1
GO:0005524	IEA	CFD1
GO:0046872	IEA	CFD1
GO:0051536	IEA	CFD1
GO:0051539	IEA	CFD1
GO:0004100	IEA	CHS1
GO:0016740	IEA	CHS1
GO:0016757	IEA	CHS1
GO:0016758	IEA	CHS1
GO:0004100	IEA	CHS3
GO:0016740	IEA	CHS3
GO:0016757	IEA	CHS3
GO:0016758	IEA	CHS3
GO:0000166	IEA	CLP1
GO:0005524	IEA	CLP1
GO:0003723	IEA	CLU1
GO:0004721	IEA	CNA1
GO:0004723	IEA	CNA1
GO:0005516	IEA	CNA1
GO:0016787	IEA	CNA1
GO:0046872	IEA	CNA1
GO:0016787	IEA	CNAG_00002
GO:0022857	ND	CNAG_00003
GO:0003677	IEA	CNAG_00004
GO:0008270	IEA	CNAG_00004
GO:0003674	ND	CNAG_00005
GO:0003674	ND	CNAG_00006
GO:0000166	IEA	CNAG_00007
GO:0004812	IEA	CNAG_00007
GO:0004825	IBA	CNAG_00007
GO:0005524	IEA	CNAG_00007
GO:0016874	IEA	CNAG_00007
GO:0003674	ND	CNAG_00008
GO:0000287	ND	CNAG_00009
GO:0005509	IEA	CNAG_00009
GO:0042803	ND	CNAG_00009
GO:0015095	ND	CNAG_00010
GO:0046873	IEA	CNAG_00010
GO:0004061	IEA	CNAG_00011
GO:0016491	IEA	CNAG_00012
GO:0003723	IBA	CNAG_00016
GO:0005515	ND	CNAG_00016
GO:0008266	IEA	CNAG_00016
GO:0000978	ND	CNAG_00017
GO:0001228	ND	CNAG_00017
GO:0003677	IEA	CNAG_00017
GO:0003700	IEA	CNAG_00017
GO:0042802	ND	CNAG_00017
GO:0043565	IEA	CNAG_00017
GO:0000981	IEA	CNAG_00018
GO:0003677	IEA	CNAG_00018
GO:0008270	IEA	CNAG_00018
GO:0046872	IEA	CNAG_00018
GO:0008565	IDA	CNAG_00019
GO:0046872	IEA	CNAG_00019
GO:0051082	IDA	CNAG_00019
GO:0003674	ND	CNAG_00020
GO:0004014	IBA	CNAG_00021
GO:0016829	IEA	CNAG_00021
GO:0016831	IEA	CNAG_00021
GO:0004408	IBA	CNAG_00022
GO:0016829	IEA	CNAG_00022
GO:0046872	IEA	CNAG_00022
GO:0003674	ND	CNAG_00023
GO:0003674	ND	CNAG_00025
GO:0015369	ND	CNAG_00025
GO:0003824	IEA	CNAG_00026
GO:0004061	IDA	CNAG_00026
GO:0008483	IEA	CNAG_00026
GO:0016212	IBA	CNAG_00026
GO:0016740	IEA	CNAG_00026
GO:0030170	IEA	CNAG_00026
GO:0047536	IDA	CNAG_00026
GO:0000981	IEA	CNAG_00027
GO:0008270	IEA	CNAG_00027
GO:0004617	IBA	CNAG_00029
GO:0016491	IEA	CNAG_00029
GO:0016616	IEA	CNAG_00029
GO:0051287	IEA	CNAG_00029
GO:0061759	IDA	CNAG_00029
GO:0000981	IEA	CNAG_00031
GO:0003677	IEA	CNAG_00031
GO:0005488	ND	CNAG_00031
GO:0008270	IEA	CNAG_00031
GO:0046872	IEA	CNAG_00031
GO:0003824	IEA	CNAG_00032
GO:0016830	IEA	CNAG_00032
GO:0003735	IBA	CNAG_00034
GO:0019843	IEA	CNAG_00034
