"go_id"	"replacement_term"
"GO:0016568"	"GO:0006325"
"GO:0043148"	"GO:0007052"
"GO:0034065"	"GO:0031297"
"GO:0010388"	"GO:0000338"
"GO:0043581"	"GO:0097738"
"GO:0070526"	"GO:0002949"
"GO:0000059"	"deleted"
"GO:0008054"	"GO:0031145"
"GO:0072668"	"GO:0007021"
"GO:1990376"	"deleted"
"GO:0034049"	"GO:0032516"
"GO:0007092"	"GO:1904668"
"GO:0033109"	"GO:0030866"
"GO:0072692"	"deleted"
"GO:0034048"	"GO:0032515"
"GO:0034047"	"GO:0043666"
"GO:0050983"	"GO:0034038"
"GO:0060565"	"GO:1990948"
"GO:1900475"	"GO:0010674"
"GO:0032512"	"GO:0043666"
"GO:0030996"	"deleted"
"GO:1902454"	"GO:1901098"
"GO:0010503"	"deleted"
"GO:0008280"	"GO:0008278"
"GO:0034273"	"GO:1990316"
"GO:0016023"	"GO:0031410"
"GO:0070188"	"GO:1990879"
"GO:0071862"	"GO:0072542"
"GO:0090302"	"GO:0061630"
"GO:0008601"	"GO:0019888"
"GO:0008599"	"GO:0019888"
"GO:0045502"	"GO:0070840"
"GO:0008262"	"GO:0005049"
"GO:0044822"	"GO:0003723"
