genes	logFC.A	FDR.A	logFC.AL	FDR.AL	groups	coarse_groups
CNAG_05599	2.00678967542178	2.50750759537119e-06	2.11427507481485	3.11035748404077e-06	Both up	Same
CNAG_04690	2.026479084644	3.79010169294671e-06	2.1182178677519	5.63718249918065e-06	Both up	Same
CNAG_05130	2.59848798428433	3.79010169294671e-06	2.45293053435738	7.93857359064014e-06	Both up	Same
CNAG_00047	2.03218624129871	3.79010169294671e-06	2.08760963063548	7.32181891506905e-06	Both up	Same
CNAG_04523	5.42940128295004	3.79010169294671e-06	5.5689780620854	7.32181891506905e-06	Both up	Same
CNAG_01331	2.06747027861497	4.1999101628853e-06	2.1004395923343	7.93857359064014e-06	Both up	Same
CNAG_02473	1.60866748230947	4.1999101628853e-06	1.58948450274998	7.93857359064014e-06	Both up	Same
CNAG_01769	1.34467265680156	6.04194302361065e-06	1.30433168666611	1.67512863257301e-05	Both up	Same
CNAG_00409	1.44697994606394	6.04194302361065e-06	1.59773692129943	7.93857359064014e-06	Both up	Same
CNAG_00879	1.66341319234381	6.04194302361065e-06	1.78764416174387	7.93857359064014e-06	Both up	Same
CNAG_03068	2.84052105600526	6.04194302361065e-06	2.65307936481756	1.81840105835352e-05	Both up	Same
CNAG_05042	1.31458437453774	7.6496751348683e-06	1.33103906200027	1.67512863257301e-05	Both up	Same
CNAG_05075	4.01681971146808	7.65563581084906e-06	3.60089404118201	2.38860133842144e-05	Both up	Same
CNAG_05767	1.58992957244055	9.64858515670761e-06	1.62288810434938	1.81840105835352e-05	Both up	Same
CNAG_07851	1.57911890680663	1.26956872985408e-05	1.41951900501444	5.06371584455995e-05	Both up	Same
CNAG_00662	1.26254521253211	1.27074469185939e-05	1.03648607728797	8.04285459497087e-05	Both up	Same
CNAG_03398	2.38285071750966	1.63544584522506e-05	2.57204973306452	1.83519398168692e-05	Both up	Same
CNAG_01257	1.99354428028878	1.75118102531229e-05	2.1312234656753	2.04859915253353e-05	Both up	Same
CNAG_03916	1.46083162624866	1.84293668594388e-05	1.44968972308925	4.32476420293289e-05	Both up	Same
CNAG_00627	2.71809442041865	2.32398730960315e-05	2.66230166834759	5.06371584455995e-05	Both up	Same
CNAG_01137	1.95120509798202	2.32398730960315e-05	1.89653304349137	5.06371584455995e-05	Both up	Same
CNAG_06836	1.86145509090646	2.43364145000696e-05	1.73661499905575	6.98730854924886e-05	Both up	Same
CNAG_02903	2.28844816294077	2.43364145000696e-05	2.30906616626562	4.82122073129382e-05	Both up	Same
CNAG_07363	1.2914483295739	2.4365966202691e-05	1.18706749904848	7.85815591621197e-05	Both up	Same
CNAG_06190	1.66305555888073	2.66706599467386e-05	1.86439997141137	2.60239308433155e-05	Both up	Same
CNAG_03234	2.15581841619274	2.93019555525495e-05	1.95087732607257	8.80794454196695e-05	Both up	Same
CNAG_02288	1.62072828141661	3.16862063593863e-05	1.54672375036638	7.85815591621197e-05	Both up	Same
CNAG_00505	1.13489141258538	3.81884898436051e-05	1.04215635659286	0.000123119786099109	Both up	Same
CNAG_00061	1.36760770354178	4.09607016643236e-05	1.4823074500198	5.06371584455995e-05	Both up	Same
CNAG_04216	2.44030075112418	5.10520765642844e-05	2.4267189333959	0.000105235624928791	Both up	Same
CNAG_04157	-1.1956187758784	5.27680858767193e-05	-0.918719125332891	0.000449570384912913	Both down	Same
CNAG_01605	1.50596975780654	5.40115236637671e-05	1.66670005923981	5.40176323771793e-05	Both up	Same
CNAG_05907	1.11412049937449	5.72354566537712e-05	0.936608726379593	0.000264756815522208	Both up	Same
CNAG_07695	1.39878878022181	5.72354566537712e-05	1.58469946253585	5.06371584455995e-05	Both up	Same
CNAG_03596	1.18994826562726	6.69049530876605e-05	1.29776338289662	7.02920625130663e-05	Both up	Same
CNAG_01946	2.09128137131539	6.69049530876605e-05	2.21944605062635	7.76754776921892e-05	Both up	Same
CNAG_03086	1.22175437258329	7.49430246820514e-05	1.20801923997637	0.00013167335955882	Both up	Same
CNAG_07004	0.936125577214563	7.7299902526668e-05	0.945984071492521	0.000126353700400498	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06622	2.18930672330895	9.66025626383311e-05	1.91874926966738	0.000264756815522208	Both up	Same
CNAG_06098	1.21305726634394	0.000100627619471609	1.3546191100263	8.04285459497087e-05	Both up	Same
CNAG_01900	0.887975423195549	0.000124797838755406	1.03054326345456	7.85815591621197e-05	Both up	Same
CNAG_05993	2.10823992397083	0.000126812292904696	2.57292445751789	6.00392401776066e-05	Both up	Same
CNAG_00490	1.16620602352942	0.000130294803057014	1.04121462257031	0.000337365725186953	Both up	Same
CNAG_04638	1.24854221458195	0.000130294803057014	0.819208850443091	0.00118801466649356	Both up	Same
CNAG_02035	1.07336384744553	0.000133839879291087	1.17907851149698	0.000124984534778618	Both up	Same
CNAG_00531	0.958480098485821	0.000133839879291087	0.872384943645999	0.000337365725186953	Both up	Same
CNAG_03452	0.797364838760543	0.000133839879291087	0.870604439472196	0.00013167335955882	Both up	Same
CNAG_01252	2.17583201845674	0.000133839879291087	2.18997954653165	0.000181425995396394	Both up	Same
CNAG_04689	1.26480576498495	0.000133839879291087	0.906896626200114	0.000876618895116483	Both up	Same
CNAG_07559	2.23560209979588	0.000133839879291087	2.78937136884615	6.09665755848613e-05	Both up	Same
CNAG_00275	2.27728265155379	0.000133839879291087	2.51327945028972	0.000119765509088169	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_01604	0.899272124634016	0.000133839879291087	1.37847436795367	1.83519398168692e-05	Both up	Same
CNAG_03674	1.71903441963248	0.000143553672052982	1.93358146280327	0.000115989968765049	Both up	Same
CNAG_01621	2.90078174722321	0.000146443654112591	3.598008813017	6.65363498051107e-05	Both up	Same
CNAG_00815	1.20275388034126	0.000146443654112591	0.849008582067151	0.00103341260140144	Both up	Same
CNAG_04186	2.6666758746568	0.000149711169620396	2.90398021624843	0.00013167335955882	Both up	Same
CNAG_02676	0.788285300762321	0.000152093937941915	0.729853240247603	0.000383832157273345	Both up	Same
CNAG_05537	-1.83071346851804	0.000165737825649129	-1.60118426477288	0.000525696033168915	Both down	Same
CNAG_02799	0.983142683113965	0.000165737825649129	1.0310760247034	0.000195333902492906	Both up	Same
CNAG_05160	1.24314554876489	0.000168845032576229	1.23044523511406	0.000284237376770762	Both up	Same
CNAG_00050	1.03106491186511	0.000168845032576229	1.16374841800448	0.000141412971662353	Both up	Same
CNAG_06432	2.35604865772057	0.000180903658119309	3.06734569832413	6.65363498051107e-05	Both up	Same
CNAG_05089	1.540639867985	0.000180903658119309	1.16917029591178	0.000838627195744186	Both up	Same
CNAG_07401	1.66956295628454	0.000181175458838657	1.74113282699072	0.000226891215867339	Both up	Same
CNAG_01945	3.51713977938268	0.000181175458838657	3.63192868268926	0.000214005076063154	Both up	Same
CNAG_01097	1.94999083609224	0.000181175458838657	2.15712142223669	0.000159365480606436	Both up	Same
