Category	1C	2G	2K	3D	4A	5A	5F	5L	6F	7B	8G	8H
Assigned	9283342	10971071	9541156	8845108	8902641	11445843	9296207	8218172	9479055	10178475	9670689	8881251
Unassigned_Unmapped	248009	108903	190637	147847	250261	172648	155265	145236	275906	95491	134352	126997
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	231204	318847	270975	245557	288643	293315	295747	249614	358653	373004	459255	332621
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	497924	592197	524692	475383	596194	624602	503342	426594	595835	527839	639046	528292
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	19353	26913	37403	19244	17060	27817	25458	18995	20719	34523	21044	24156
