term	gobpid	organism	query_lists_id	direction	p.adjusted	oddsratio	x_labels	Odds_Ratio_Score
'de novo' IMP biosynthetic process	GO:0006189	S. cerevisiae	AMB only	Down	0.000464404606640842	30.9803921568627	S. cerevisiae AMB only	-30.9803921568627
'de novo' posttranslational protein folding	GO:0051084	C. neoformans	AMB + LF	Up	0.000391290707920868	14.0377632534495	C. neoformans AMB + LF	14.0377632534495
'de novo' protein folding	GO:0006458	C. neoformans	AMB + LF	Up	7.35515968660361e-05	10.9796721311475	C. neoformans AMB + LF	10.9796721311475
'de novo' protein folding	GO:0006458	S. cerevisiae	AMB only	Down	0.00606757793925288	4.20211960635882	S. cerevisiae AMB only	-4.20211960635882
2-oxoglutarate metabolic process	GO:0006103	C. neoformans	AMB only	Up	0.00904377000827665	Inf	C. neoformans AMB only	Inf
2-oxoglutarate metabolic process	GO:0006103	C. neoformans	AMB + LF	Up	0.0189195586330104	Inf	C. neoformans AMB + LF	Inf
3'-UTR-mediated mRNA destabilization	GO:0061158	S. cerevisiae	AMB only	Up	0.0488160755600507	Inf	S. cerevisiae AMB only	Inf
5-phosphoribose 1-diphosphate biosynthetic process	GO:0006015	S. cerevisiae	AMB only	Down	0.00470468220134445	Inf	S. cerevisiae AMB only	-Inf
5-phosphoribose 1-diphosphate metabolic process	GO:0046391	S. cerevisiae	AMB only	Down	0.00470468220134445	Inf	S. cerevisiae AMB only	-Inf
acetate metabolic process	GO:0006083	C. neoformans	AMB only	Up	0.0128460089995459	10	C. neoformans AMB only	10
acetate metabolic process	GO:0006083	C. neoformans	AMB + LF	Up	0.00511987917946387	14.6954397394137	C. neoformans AMB + LF	14.6954397394137
acetyl-CoA biosynthetic process	GO:0006085	C. neoformans	AMB only	Up	0.00598750669592277	15.0037593984962	C. neoformans AMB only	15.0037593984962
acetyl-CoA biosynthetic process	GO:0006085	C. neoformans	AMB + LF	Up	0.0153420587370379	12.5824295010846	C. neoformans AMB + LF	12.5824295010846
acetyl-CoA biosynthetic process from pyruvate	GO:0006086	C. neoformans	AMB only	Up	0.00904377000827665	Inf	C. neoformans AMB only	Inf
acetyl-CoA biosynthetic process from pyruvate	GO:0006086	C. neoformans	AMB + LF	Up	0.0189195586330104	Inf	C. neoformans AMB + LF	Inf
acetyl-CoA metabolic process	GO:0006084	C. neoformans	AMB only	Up	0.00298215112803702	6.27361460957179	C. neoformans AMB only	6.27361460957179
acetyl-CoA metabolic process	GO:0006084	C. neoformans	AMB + LF	Up	0.0111065786747518	5.25735294117647	C. neoformans AMB + LF	5.25735294117647
acidic amino acid transport	GO:0015800	C. neoformans	AMB only	Up	0.0286958445254287	19.96	C. neoformans AMB only	19.96
actin cortical patch assembly	GO:0000147	S. cerevisiae	AMB only	Up	0.0024095723566958	7.34981838502375	S. cerevisiae AMB only	7.34981838502375
actin cortical patch organization	GO:0044396	S. cerevisiae	AMB only	Up	8.81133213201757e-05	9.57885154061625	S. cerevisiae AMB only	9.57885154061625
actin cytoskeleton organization	GO:0030036	S. cerevisiae	AMB only	Up	0.0360664104472532	1.73850714570152	S. cerevisiae AMB only	1.73850714570152
actin filament depolymerization	GO:0030042	S. cerevisiae	AMB only	Up	0.0379539363813732	6.59523809523809	S. cerevisiae AMB only	6.59523809523809
actin filament organization	GO:0007015	S. cerevisiae	AMB only	Up	0.00748822996296472	2.34813925570228	S. cerevisiae AMB only	2.34813925570228
actin filament polymerization	GO:0030041	S. cerevisiae	AMB only	Up	0.00414222225401894	4.12268012335296	S. cerevisiae AMB only	4.12268012335296
actin filament-based process	GO:0030029	S. cerevisiae	AMB only	Up	0.0349883227136092	1.73121134020619	S. cerevisiae AMB only	1.73121134020619
actin nucleation	GO:0045010	S. cerevisiae	AMB only	Up	0.0227181112901494	4.00518174197973	S. cerevisiae AMB only	4.00518174197973
actin polymerization or depolymerization	GO:0008154	S. cerevisiae	AMB only	Up	0.00539509938807186	3.68195847362514	S. cerevisiae AMB only	3.68195847362514
acyl-CoA biosynthetic process	GO:0071616	C. neoformans	AMB only	Up	0.0039847836622387	11.6813048933501	C. neoformans AMB only	11.6813048933501
acyl-CoA biosynthetic process	GO:0071616	C. neoformans	AMB + LF	Up	0.0111065786747518	9.79442634817228	C. neoformans AMB + LF	9.79442634817228
