gobpid	groups	ordering	term	ontology	cneo,compare_A,down	cneo,compare_A,up	cneo,compare_AL,down	cneo,compare_AL,up	scer,compare_A,down	scer,compare_A,up	scer,compare_AL,down	scer,compare_AL,up
GO:0008154	Cell organization related	1	actin polymerization or depolymerization	BP	NA	NA	NA	NA	NA	0.00539509938807186	NA	NA
GO:0000226	Cell organization related	2	microtubule cytoskeleton organization	BP	0.000342961712885666	NA	5.19690760478487e-05	NA	NA	NA	NA	NA
GO:0044262	Energy related	3	cellular carbohydrate metabolic process	BP	NA	6.0502047878054e-08	NA	1.39488104019152e-05	NA	0.000115831294315791	NA	NA
GO:0006091	Energy related	4	generation of precursor metabolites and energy	BP	NA	4.71726382605305e-07	NA	8.39564047786537e-08	NA	0.00162195293187428	NA	NA
GO:0006091	Energy related	5	generation of precursor metabolites and energy	BP	NA	4.71726382605305e-07	NA	8.39564047786537e-08	NA	0.00162195293187428	NA	NA
GO:0016226	Energy related	6	iron-sulfur cluster assembly	BP	NA	NA	NA	NA	NA	NA	NA	0.0251093960855613
GO:0006122	Energy related	7	mitochondrial electron transport, ubiquinol to cytochrome c	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006733	Energy related	8	oxidoreduction coenzyme metabolic process	BP	NA	3.94181845322813e-08	NA	1.11826709158249e-07	NA	0.0288870744977252	0.00876015083113093	NA
GO:0072350	Energy related	9	tricarboxylic acid metabolic process	BP	NA	6.0502047878054e-08	NA	8.55854971365905e-07	NA	0.0294105926986386	NA	NA
GO:0044242	Lipid related	10	cellular lipid catabolic process	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006696	Lipid related	11	ergosterol biosynthetic process	BP	NA	NA	0.0181247825536919	NA	0.000508777155593611	NA	0.00521023221537272	NA
GO:0016125	Lipid related	12	sterol metabolic process	BP	0.0478919942313297	NA	0.0204724577529935	NA	0.0131300934472293	NA	0.0189922549205251	NA
GO:0006825	Metal related	13	copper ion transport	BP	NA	NA	NA	NA	NA	0.0357252176133811	NA	NA
GO:0055072	Metal related	14	iron ion homeostasis	BP	NA	NA	NA	NA	NA	0.00525590383712719	NA	NA
GO:0015891	Metal related	15	siderophore transport	BP	NA	NA	NA	NA	NA	0.00748822996296472	NA	NA
