go_id	evidence	oln_id
GO:0032543	IC	Q0020
GO:0032543	IMP	Q0158
GO:0042255	IMP	Q0158
GO:0006783	IGI	YMR056C
GO:0009060	IGI	YMR056C
GO:0006839	IGI	YMR056C
GO:0006810	IEA	YMR056C
GO:0055085	IEA	YMR056C
GO:0046902	IBA	YMR056C
GO:0015866	IEA	YMR056C
GO:0015867	IEA	YMR056C
GO:0015886	IMP	YMR056C
GO:0009061	IGI	YBR085W
GO:0009061	IEP	YBR085W
GO:0055085	ISA	YBR085W
GO:0006810	IEA	YBR085W
GO:0055085	IEA	YBR085W
GO:0015866	IEA	YBR085W
GO:0046902	IBA	YBR085W
GO:0015886	IMP	YBR085W
GO:0015867	IEA	YBR085W
GO:0055114	IEA	YJR155W
GO:0006081	ISS	YJR155W
GO:0006081	ISS	YNL331C
GO:0055114	IEA	YNL331C
GO:0006081	ISS	YOL165C
GO:0055114	IEA	YOL165C
GO:0006081	ISS	YCR107W
GO:0055114	IEA	YCR107W
GO:0055114	IEA	YDL243C
GO:0006081	ISS	YDL243C
GO:0006081	ISS	YFL056C
GO:0055114	IEA	YFL056C
GO:0006146	IDA	YNL141W
GO:0006146	IMP	YNL141W
GO:0043101	IDA	YNL141W
GO:0043101	IMP	YNL141W
GO:0043103	IDA	YNL141W
GO:0043103	IMP	YNL141W
GO:0006146	IEA	YNL141W
GO:0009168	IEA	YNL141W
GO:0009117	IEA	YNL141W
GO:0006508	IEA	YHR047C
GO:0005977	IMP	YHR047C
GO:0006508	IMP	YHR047C
GO:0043171	IBA	YHR047C
GO:0000244	IMP	YBL074C
GO:0006397	IEA	YBL074C
GO:0008380	IEA	YBL074C
GO:0001300	IMP	YKL106W
GO:0009058	IEA	YKL106W
GO:0001302	IMP	YKL106W
GO:0006533	IBA	YKL106W
GO:0006538	RCA	YKL106W
GO:0006530	RCA	YKL106W
GO:0006520	IEA	YKL106W
GO:0009058	IEA	YLR027C
GO:0006532	IMP	YLR027C
GO:0006520	IEA	YLR027C
GO:0006529	RCA	YLR027C
GO:0006532	RCA	YLR027C
GO:0019266	IC	YLR027C
GO:0032259	IEA	YBR236C
GO:0006370	IEA	YBR236C
GO:0006397	IEA	YBR236C
GO:0006370	IDA	YBR236C
GO:0045944	IMP	YKL112W
GO:0006338	IGI	YKL112W
GO:0006338	IDA	YKL112W
GO:0006260	IEA	YKL112W
GO:0070911	IDA	YKL112W
GO:0070911	IMP	YKL112W
GO:0006261	IDA	YKL112W
GO:0006366	IEA	YKL112W
GO:0006974	IEA	YKL112W
GO:0006281	IEA	YKL112W
GO:0006351	IEA	YKL112W
GO:0030466	IMP	YKL112W
GO:0000122	IMP	YKL112W
GO:0006355	IEA	YKL112W
GO:0090139	IMP	YMR072W
GO:0000001	IMP	YMR072W
GO:0000002	IMP	YMR072W
GO:0000226	IMP	YJR108W
GO:0000147	IMP	YCR088W
GO:0044379	IMP	YCR088W
GO:2000601	IDA	YCR088W
GO:0051016	IMP	YCR088W
GO:0030488	IMP	YOR239W
GO:0032259	IEA	YOR239W
GO:0051017	IDA	YOR239W
GO:0008153	IMP	YNR033W
GO:0009058	IEA	YNR033W
GO:0046654	IBA	YNR033W
GO:0008152	IEA	YNR033W
GO:0006541	IEA	YNR033W
GO:0046656	IEA	YNR033W
GO:0046654	IEA	YNR033W
GO:0046654	IEA	YMR289W
GO:0046656	IMP	YMR289W
GO:0008152	IEA	YMR289W
GO:0009098	IBA	YMR289W
GO:0046656	IEA	YMR289W
GO:0009099	IBA	YMR289W
GO:0045944	IDA	YER045C
GO:0006351	IEA	YER045C
GO:0006355	IEA	YER045C
GO:0006366	IEA	YER045C
GO:0001300	IMP	YGR037C
GO:0015909	IMP	YGR037C
GO:0006810	IEA	YGR037C
GO:0042759	IMP	YNR016C
GO:0006998	TAS	YNR016C
GO:0006606	IMP	YNR016C
GO:0006633	IEA	YNR016C
GO:0008152	IEA	YNR016C
GO:0006629	IEA	YNR016C
GO:2001295	IEA	YNR016C
GO:0006631	IEA	YNR016C
GO:0060196	IMP	YLR131C
GO:0000083	IMP	YLR131C
GO:2001043	IMP	YLR131C
GO:0006351	IEA	YLR131C
GO:0045944	IMP	YLR131C
GO:0006355	IEA	YLR131C
GO:0000122	IMP	YLR131C
GO:0030036	IDA	YLR144C
GO:0006076	IBA	YLR144C
GO:0008152	IEA	YLR144C
GO:0008150	ND	YJR083C
GO:0006083	IMP	YBL015W
GO:0006084	IEA	YBL015W
GO:0019679	IBA	YBL015W
GO:0009967	IMP	YDL203C
