go_id	evidence	oln_id
GO:0005763	IDA	Q0020
GO:0005762	IDA	Q0158
GO:0005739	IDA	YMR056C
GO:0005739	IEA	YMR056C
GO:0016021	IBA	YMR056C
GO:0005743	IEA	YMR056C
GO:0016021	IEA	YMR056C
GO:0005743	IDA	YMR056C
GO:0016020	IEA	YMR056C
GO:0016021	ISM	YMR056C
GO:0005743	ISA	YBR085W
GO:0016021	ISM	YBR085W
GO:0005743	IEA	YBR085W
GO:0005739	IDA	YBR085W
GO:0016021	IBA	YBR085W
GO:0005739	IEA	YBR085W
GO:0016021	IEA	YBR085W
GO:0016020	IEA	YBR085W
GO:0005743	IBA	YBR085W
GO:0005575	ND	YJR155W
GO:0005575	ND	YNL331C
GO:0005575	ND	YOL165C
GO:0005575	ND	YCR107W
GO:0005575	ND	YDL243C
GO:0005575	ND	YFL056C
GO:0005737	IDA	YNL141W
GO:0005634	IDA	YNL141W
GO:0005737	IEA	YNL141W
GO:0005634	IEA	YNL141W
GO:0005737	IDA	YHR047C
GO:0005634	IDA	YHR047C
GO:0005682	IDA	YBL074C
GO:0005634	IEA	YBL074C
GO:0005737	IEA	YBL074C
GO:0005739	IDA	YKL106W
GO:0005759	IEA	YKL106W
GO:0005739	IEA	YKL106W
GO:0005777	IMP	YLR027C
GO:0005777	IDA	YLR027C
GO:0005829	IDA	YLR027C
GO:0005777	IEA	YLR027C
GO:0005739	IBA	YLR027C
GO:0005737	IEA	YLR027C
GO:0016591	IDA	YBR236C
GO:0005634	IEA	YBR236C
GO:0005845	IBA	YBR236C
GO:0005829	IDA	YBR236C
GO:0005634	IDA	YBR236C
GO:0000113	IDA	YKL112W
GO:0005634	IEA	YKL112W
GO:0005634	IDA	YKL112W
GO:0005634	IMP	YKL112W
GO:0005634	IEA	YMR072W
GO:0000262	IDA	YMR072W
GO:0005739	IEA	YMR072W
GO:0005739	IDA	YMR072W
GO:0042645	IDA	YMR072W
GO:0005575	ND	YJR108W
GO:0030479	IDA	YCR088W
GO:0005622	IEA	YCR088W
GO:0043332	IDA	YCR088W
GO:0005737	IEA	YCR088W
GO:0005856	IEA	YCR088W
GO:0005737	IDA	YCR088W
GO:0030479	IEA	YCR088W
GO:0005938	IDA	YCR088W
GO:0005856	IEA	YOR239W
GO:0043332	IDA	YOR239W
GO:0005884	IDA	YOR239W
GO:0005737	IEA	YOR239W
GO:0030479	IDA	YOR239W
GO:0032432	IDA	YOR239W
GO:0005737	IDA	YNR033W
GO:0005737	IEA	YNR033W
GO:0005739	IBA	YMR289W
GO:0005737	IDA	YMR289W
GO:0005737	IEA	YMR289W
GO:0005634	IC	YER045C
GO:0005634	IEA	YER045C
GO:0005737	IDA	YGR037C
GO:0005829	IDA	YGR037C
GO:0005576	IDA	YGR037C
GO:0005576	IMP	YGR037C
GO:0005634	IDA	YGR037C
GO:0005739	IDA	YNR016C
GO:0005789	IDA	YNR016C
GO:0005829	IDA	YNR016C
GO:0005737	IEA	YNR016C
GO:0005783	IEA	YNR016C
GO:0016020	IEA	YNR016C
GO:0005789	IEA	YNR016C
GO:0005634	IDA	YLR131C
GO:0005829	IDA	YLR131C
GO:0005737	IDA	YLR131C
GO:0005634	IEA	YLR131C
GO:0005737	IEA	YLR144C
GO:0005622	IDA	YLR144C
GO:0009986	IBA	YLR144C
GO:0005575	ND	YJR083C
GO:0005737	IEA	YBL015W
GO:0005739	IDA	YBL015W
GO:0005829	IDA	YBL015W
GO:0005739	IDA	YDL203C
GO:0005737	IDA	YDR161W
GO:0005634	IDA	YDR161W
GO:0005737	IEA	YDR161W
GO:0005634	IEA	YDR161W
GO:0005737	IDA	YPL267W
GO:0005634	IDA	YPL267W
