go_id	evidence	oln_id
GO:0003735	IC	Q0020
GO:0003735	ISS	Q0158
GO:0003735	IMP	Q0158
GO:0005471	IDA	YMR056C
GO:0005215	IEA	YMR056C
GO:0005471	ISA	YBR085W
GO:0005471	IBA	YBR085W
GO:0005215	IEA	YBR085W
GO:0016491	IEA	YJR155W
GO:0018456	ISS	YJR155W
GO:0016491	IEA	YNL331C
GO:0018456	ISS	YNL331C
GO:0018456	ISS	YOL165C
GO:0016491	IEA	YOL165C
GO:0018456	ISS	YCR107W
GO:0016491	IEA	YCR107W
GO:0016491	IEA	YDL243C
GO:0018456	ISS	YDL243C
GO:0016491	IEA	YFL056C
GO:0018456	ISS	YFL056C
GO:0000034	IDA	YNL141W
GO:0000034	IEA	YNL141W
GO:0046872	IEA	YNL141W
GO:0019239	IEA	YNL141W
GO:0016787	IEA	YNL141W
GO:0000034	IMP	YNL141W
GO:0004177	ISS	YHR047C
GO:0004177	IEA	YHR047C
GO:0046872	IEA	YHR047C
GO:0008237	IEA	YHR047C
GO:0008270	IEA	YHR047C
GO:0070006	IBA	YHR047C
GO:0008270	IBA	YHR047C
GO:0042277	IBA	YHR047C
GO:0016787	IEA	YHR047C
GO:0008233	IEA	YHR047C
GO:0003674	ND	YBL074C
GO:0004069	ISA	YKL106W
GO:0003824	IEA	YKL106W
GO:0004069	IBA	YKL106W
GO:0008483	IEA	YKL106W
GO:0080130	IEA	YKL106W
GO:0004069	IEA	YKL106W
GO:0016740	IEA	YKL106W
GO:0030170	IEA	YKL106W
GO:0004069	IMP	YLR027C
GO:0004069	IDA	YLR027C
GO:0016740	IEA	YLR027C
GO:0004069	IEA	YLR027C
GO:0003824	IEA	YLR027C
GO:0030170	IEA	YLR027C
GO:0008483	IEA	YLR027C
GO:0080130	IEA	YLR027C
GO:0004482	IDA	YBR236C
GO:0008168	IEA	YBR236C
GO:0004482	IEA	YBR236C
GO:0016740	IEA	YBR236C
GO:0003723	IEA	YBR236C
GO:0001077	IDA	YKL112W
GO:0000978	IDA	YKL112W
GO:0003688	IDA	YKL112W
GO:0044374	IDA	YKL112W
GO:0043565	IDA	YKL112W
GO:0001046	IDA	YKL112W
GO:0003677	IEA	YKL112W
GO:0003677	IEA	YMR072W
GO:0008301	IDA	YMR072W
GO:0003677	IDA	YMR072W
GO:0003674	ND	YJR108W
GO:0003779	IEA	YCR088W
GO:0051015	IDA	YCR088W
GO:0003779	IEA	YOR239W
GO:0052735	IDA	YOR239W
GO:0052735	IMP	YOR239W
GO:0030674	IDA	YOR239W
GO:0051015	IDA	YOR239W
GO:0016740	IEA	YOR239W
GO:0008168	IEA	YOR239W
GO:0016740	IEA	YNR033W
GO:0046820	ISS	YNR033W
GO:0003824	IEA	YNR033W
GO:0046820	IEA	YNR033W
GO:0046820	IMP	YNR033W
GO:0004084	IBA	YMR289W
GO:0003824	IEA	YMR289W
GO:0016829	IEA	YMR289W
GO:0008696	IDA	YMR289W
GO:0008696	IEA	YMR289W
GO:0043565	IDA	YER045C
GO:0001077	IDA	YER045C
GO:0003677	IEA	YER045C
GO:0003700	IEA	YER045C
GO:0000062	ISS	YGR037C
GO:0005324	IMP	YGR037C
GO:0008289	IEA	YGR037C
GO:0000062	IEA	YGR037C
GO:0004075	ISS	YNR016C
GO:0003989	ISS	YNR016C
GO:0003989	IMP	YNR016C
GO:0003989	IEA	YNR016C
GO:0046872	IEA	YNR016C
GO:0016874	IEA	YNR016C
GO:0003824	IEA	YNR016C
GO:0005524	IEA	YNR016C
GO:0004075	IEA	YNR016C
GO:0000166	IEA	YNR016C
GO:0004075	IMP	YNR016C
GO:0043565	IDA	YLR131C
GO:0000987	IDA	YLR131C
GO:0000982	IMP	YLR131C
GO:0003676	IEA	YLR131C
GO:0046872	IEA	YLR131C
GO:0003677	IEA	YLR131C
GO:0052862	IEA	YLR144C
GO:0052861	IEA	YLR144C
GO:0042973	IDA	YLR144C
GO:0016798	IEA	YLR144C
GO:0042973	IGI	YLR144C
GO:0016787	IEA	YLR144C
GO:0003674	ND	YJR083C
GO:0003986	IDA	YBL015W
GO:0008775	IDA	YBL015W
GO:0016787	IEA	YBL015W
GO:0003824	IEA	YBL015W
GO:0003986	IEA	YBL015W
GO:0003674	ND	YDL203C
GO:0003674	ND	YDR161W
GO:0055105	IDA	YPL267W
GO:0055105	IPI	YPL267W
GO:0055105	IGI	YPL267W
GO:0055105	IMP	YPL267W
GO:0003697	IDA	YLR304C
GO:0003690	IDA	YLR304C
GO:0003994	IDA	YLR304C
GO:0003994	IMP	YLR304C
GO:0051536	IEA	YLR304C
GO:0016829	IEA	YLR304C
GO:0046872	IEA	YLR304C
GO:0003994	IEA	YLR304C
GO:0051539	IEA	YLR304C
GO:0003994	ISS	YJL200C
GO:0003994	IEA	YJL200C
GO:0051539	IEA	YJL200C
GO:0046872	IEA	YJL200C
GO:0016829	IEA	YJL200C
GO:0051536	IEA	YJL200C
GO:0000036	IBA	YKL192C
GO:0000036	ISS	YKL192C
GO:0031177	IBA	YKL192C
GO:0000035	IBA	YKL192C
GO:0000166	IEA	YAL054C
GO:0003987	IEA	YAL054C
GO:0016874	IEA	YAL054C
GO:0003987	IDA	YAL054C
GO:0016880	IDA	YAL054C
GO:0005524	IEA	YAL054C
GO:0003824	IEA	YAL054C
GO:0016208	IEA	YAL054C
GO:0003987	IEA	YLR153C
GO:0000166	IEA	YLR153C
GO:0005524	IEA	YLR153C
GO:0016874	IEA	YLR153C
GO:0003824	IEA	YLR153C
GO:0016880	IDA	YLR153C
GO:0016208	IEA	YLR153C
GO:0003987	IDA	YLR153C
GO:0004402	IDA	YFL039C
GO:0005524	IEA	YFL039C
GO:0000166	IEA	YFL039C
GO:0005200	IDA	YFL039C
GO:0008270	IEA	YDR448W
GO:0046872	IEA	YDR448W
GO:0003700	IBA	YDR448W
GO:0003713	IEA	YDR448W
GO:0003677	IEA	YDR448W
GO:0004402	IDA	YDR448W
GO:0001786	IDA	YDR448W
GO:0001786	IMP	YDR448W
GO:0003713	IDA	YDR448W
GO:0003682	IDA	YDR448W
GO:0003674	ND	YMR184W
GO:0003674	ND	YKL206C
GO:0005524	IEA	YAR015W
GO:0004639	IEA	YAR015W
GO:0004639	IMP	YAR015W
GO:0004639	IDA	YAR015W
GO:0000166	IEA	YAR015W
GO:0016874	IEA	YAR015W
GO:0004019	IDA	YNL220W
GO:0000166	IEA	YNL220W
GO:0004019	IEA	YNL220W
GO:0046872	IEA	YNL220W
GO:0016874	IEA	YNL220W
GO:0005525	IEA	YNL220W
GO:0004019	IMP	YNL220W
GO:0003688	IDA	YNL220W
GO:0016829	IEA	YLR359W
GO:0004018	IEA	YLR359W
GO:0004018	IMP	YLR359W
GO:0070626	IEA	YLR359W
GO:0003824	IEA	YLR359W
GO:0070626	IBA	YLR359W
GO:0003937	IEA	YLR028C
GO:0004643	IEA	YLR028C
