orf_id	1B	2F	2I	3F	3G	4E	4I	5C	5G	8A	9D	9E
YAL069W	0	0	0	0	0	0	0	0	0	0	0	0
YAL068W-A	0	0	0	0	0	0	0	0	0	0	0	0
YAL068C	0	4	1	1	0	0	1	2	2	1	4	1
YAL067W-A	0	2	0	0	0	0	0	2	1	1	3	3
YAL067C	51	43	22	46	47	32	42	24	37	38	22	49
YAL066W	1	2	0	2	1	0	1	1	0	0	0	0
YAL065C	15	9	8	16	17	17	14	12	19	13	6	20
YAL064W-B	26	30	18	21	26	19	28	21	21	23	11	16
YAL064C-A	52	49	35	32	31	33	46	32	24	36	44	33
YAL064W	0	4	2	0	1	1	0	2	0	2	3	2
YAL063C-A	11	11	12	7	8	16	12	8	8	10	6	5
YAL063C	274	205	144	166	268	166	273	177	203	188	188	173
YAL062W	846	1050	809	606	800	929	937	830	639	649	852	893
YAL061W	7191	7716	6717	3959	6187	7635	7324	6755	4547	5326	6092	6887
YAL060W	3596	3891	3029	2998	3606	3734	4549	3131	3231	3416	3599	3269
YAL059C-A	0	0	0	0	0	0	0	0	0	0	0	0
YAL059W	119	244	97	396	128	135	128	180	325	235	122	223
YAL058W	416	316	248	342	372	301	417	255	382	347	238	301
YAL056C-A	1	6	3	3	6	4	4	5	12	3	3	2
YAL056W	1212	1329	943	971	1160	1133	1328	1030	1025	998	1026	1097
YAL055W	496	450	307	373	495	320	547	373	387	387	364	395
YAL054C	345	284	226	325	372	274	374	240	280	260	174	245
YAL053W	1861	1971	1418	1558	1709	1765	2041	1559	1633	1535	1680	1844
YAL051W	819	792	631	606	760	693	909	700	688	710	674	713
YAL049C	709	682	569	531	669	633	796	567	600	536	528	686
YAL048C	265	265	210	199	268	261	315	203	268	272	222	252
YAL047W-A	1	3	2	1	2	1	2	1	1	0	3	2
YAL047C	261	248	196	233	220	201	274	172	220	221	187	243
YAL046C	355	391	316	371	461	354	508	332	445	444	360	403
YAL045C	1	0	1	0	5	2	3	3	2	1	2	3
YAL044W-A	63	51	44	49	67	45	64	39	35	48	47	47
YAL044C	2167	2009	1761	2614	2061	1696	2944	1746	3125	2703	1708	1781
YAL043C	976	1118	866	853	932	938	1136	912	930	892	960	1025
YAL042C-A	0	0	0	0	0	1	0	0	0	0	0	0
YAL042W	2549	2894	1934	2411	2666	2499	3083	2313	2501	2476	2367	2404
YAL041W	1175	1057	867	841	965	893	1298	910	1042	964	928	959
YAL040C	954	672	531	622	837	523	872	649	742	700	496	493
YAL039C	988	862	589	687	915	786	1021	733	637	654	750	803
YAL038W	23395	18055	14016	17043	22291	17273	29108	15427	20151	20995	19195	16610
YAL037C-B	55	183	145	152	199	149	202	119	169	170	194	153
YAL037C-A	8	8	5	13	16	9	21	7	7	11	6	5
YAL037W	97	71	55	77	109	47	91	76	91	89	61	75
YAL036C	559	757	597	1069	449	564	791	590	1292	890	589	712
