oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
YAL069W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YAL068W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching							
									
ARS102		Autonomously Replicating Sequence							
TEL01L		Telomeric region on the left arm of Chromosome I; composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats							
		Terminal telomeric repeats on the left arm of Chromosome I							
		Telomeric X element Core sequence on the left arm of Chromosome I; contains an ARS consensus sequence, an Abf1p binding site consensus sequence and two small overlapping ORFs (YAL068W-A and YAL069W)							
		Telomeric X element combinatorial repeat on the left arm of Chr I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats							
YAL068C	PAU8	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	Seripauperin-8	P0CE92					
									
YAL067W-A		Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Putative UPF0377 protein YAL067W-A	Q8TGK6					
									
ARS103		Autonomously Replicating Sequence; replication origin of very weak function							
YAL067C	SEO1	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	Probable transporter SEO1	P39709					
									
YAL066W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YAL065C		Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins	Uncharacterized protein YAL065C	O13511					
									
YAL064W-B		Fungal-specific protein of unknown function	Uncharacterized membrane protein YAL064W-B	O13512					
									
YAL064C-A	TDA8	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene	Topoisomerase I damage affected protein 8	Q6B2U8					
									
YAL064W		Protein of unknown function; may interact with ribosomes, based on co-purification experiments	Putative uncharacterized protein YAL064W	P39711					
									
YALWdelta1		Ty1 LTR							
