genes	logFC.A	FDR.A	groups	coarse_groups	rank_from_biggest_increase	rank_from_biggest_decrease	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_05387	-1.53841811362667	0.0386702720837107	AMB down only	AMB only	627	1	NA	NA	galactose transporter	Galactose transporter	galactose transporter	MF127_ASPFNMF|S glucose transporter mfs1 OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) OX=332952 GN=mfs1 PE=2 SV=1	NA	NA	NA	NA	GAL2; HXT1; HXT10; HXT11; HXT13; HXT15; HXT16; HXT17; HXT2; HXT3; HXT4; HXT5; HXT6; HXT7; HXT8; HXT9; RGT2; SNF3	Galactose transporter (Galactose permease); Low-affinity glucose transporter HXT1; Hexose transporter HXT10; Hexose transporter HXT11 (Low-affinity glucose transporter LGT3); Hexose transporter HXT13; Hexose transporter HXT15; Hexose transporter HXT16; Hexose transporter HXT17; High-affinity glucose transporter HXT2; Low-affinity glucose transporter HXT3; Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1); Probable glucose transporter HXT5; High-affinity hexose transporter HXT6; High-affinity hexose transporter HXT7; Hexose transporter HXT8; Hexose transporter HXT9; High-affinity glucose transporter RGT2; High-affinity glucose transporter SNF3
CNAG_00844	-1.42604579147959	0.00153840322999786	AMB down only	AMB only	626	2	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	FLR2_CANGA|Multidrug transporter FLR2 OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=FLR2 PE=2 SV=1	NA	NA	NA	NA	NA	NA
CNAG_01862	-1.38478223485848	0.016454595583111	AMB down only	AMB only	625	3	NA	NA	hexose transporter	Hexose transporter	hexose transporter	LACP_KLULA|Lactose permease OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=LAC12 PE=3 SV=1	NA	NA	NA	NA	NA	NA
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	621	4	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	YCV4_SCHPO|Uncharacterized amino-acid permease C777.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC777.04 PE=3 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	621	4	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	DIP5_YEAST|Dicarboxylic amino acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIP5 PE=1 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	622	5	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	YCV4_SCHPO|Uncharacterized amino-acid permease C777.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC777.04 PE=3 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	622	5	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	DIP5_YEAST|Dicarboxylic amino acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIP5 PE=1 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	623	6	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	YCV4_SCHPO|Uncharacterized amino-acid permease C777.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC777.04 PE=3 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	623	6	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	DIP5_YEAST|Dicarboxylic amino acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIP5 PE=1 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	624	7	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	YCV4_SCHPO|Uncharacterized amino-acid permease C777.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC777.04 PE=3 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_07367	-1.26606810444533	0.0290040666215821	AMB down only	AMB only	624	7	NA	NA	amino acid transporter	Amino acid transporter	amino acid transporter, amino acid transporter, variant	DIP5_YEAST|Dicarboxylic amino acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIP5 PE=1 SV=1	NA	NA	NA	NA	DIP5	Dicarboxylic amino acid permease
CNAG_01841	-1.19327672711458	0.034708057223577	AMB down only	AMB only	620	8	GLN3	NA	hypothetical protein	Uncharacterized protein	GATA family transcription factor	GATA3_BOVIN|Trans-acting T-cell-specific transcription factor GATA-3 OS=Bos taurus OX=9913 GN=GATA3 PE=2 SV=1	TRUE	NA	NA	NA	NA	NA
CNAG_05592	-1.17918514649947	0.00159318924987312	AMB down only	AMB only	619	9	ECA1	NA	potassium/sodium efflux P-type ATPase, fungal-type	Potassium/sodium efflux P-type ATPase, fungal-type	potassium/sodium efflux P-type ATPase, fungal- type	ATC1_DROME|Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type OS=Drosophila melanogaster OX=7227 GN=Ca-P60A PE=1 SV=2	NA	NA	NA	971	PMR1	Calcium-transporting ATPase 1 (EC 7.2.2.10) (Bypass SOD defects protein 1) (Golgi Ca(2+)-ATPase)
