cneo_orf_id	scer_oln_id	reliability_class
CNAG_03701	YDR127W	1
CNAG_06085	YMR008C	1
CNAG_04215	YJR010W	1
CNAG_01537	YDL160C	1
CNAG_03981	YOL003C	1
CNAG_04501	YKL211C	1
CNAG_00268	YMR108W	1
CNAG_01138	YKR066C	1
CNAG_04796	YML057W	1
CNAG_02780	YLR231C	1
CNAG_00991	YKL113C	1
CNAG_06508	YLR342W	1
CNAG_02296	YCR036W	1
CNAG_00316	YJR069C	1
CNAG_02007	YDR226W	1
CNAG_05581	YBR023C	1
CNAG_04676	YMR205C	1
CNAG_04792	YGR170W	1
CNAG_01792	YHR031C	1
CNAG_07413	YNR053C	1
CNAG_00979	YLR411W	1
CNAG_03682	YNL135C	1
CNAG_00483	YFL039C	1
CNAG_04187	YJL091C	1
CNAG_00694	YLR117C	1
CNAG_03196	YML106W	1
CNAG_02294	YOR128C	1
CNAG_03853	YPL218W	1
CNAG_03311	YML126C	1
CNAG_07359	YPL109C	1
CNAG_00655	YDL081C	1
CNAG_06729	YER058W	1
CNAG_00437	YDL008W	1
CNAG_06446	YLR203C	1
CNAG_02981	YOL004W	1
CNAG_00036	YMR079W	1
CNAG_01650	YDR237W	1
CNAG_03968	YIR001C	1
CNAG_02774	YGR288W	1
CNAG_05609	YAL019W	1
CNAG_03567	YNL161W	1
CNAG_01552	YIL004C	1
CNAG_05236	YPL260W	1
CNAG_03168	YFR030W	1
CNAG_00716	YEL039C	1
CNAG_05999	YGR147C	1
CNAG_06901	YBR243C	1
CNAG_06723	YDR178W	1
CNAG_06008	YDR321W	1
CNAG_04310	YDR061W	1
CNAG_06716	YIR009W	1
CNAG_02676	YGL212W	1
CNAG_03442	YHR188C	1
CNAG_03948	YDR032C	1
CNAG_02727	YMR068W	1
CNAG_05980	YGL068W	1
CNAG_01948	YPL248C	1
CNAG_04540	YPL094C	1
CNAG_03431	YJL206C	1
CNAG_01236	YKL172W	1
CNAG_06501	YMR307W	1
CNAG_04690	YNL168C	1
CNAG_04613	YFR009W	1
CNAG_05370	YOL002C	1
CNAG_00372	YMR091C	1
CNAG_05101	YLR129W	1
CNAG_03192	YGL243W	1
CNAG_03823	YOL133W	1
CNAG_02696	YER008C	1
CNAG_03359	YDL067C	1
CNAG_00706	YNL175C	1
CNAG_02482	YJR014W	1
CNAG_01820	YAL038W	1
CNAG_06173	YMR130W	1
CNAG_05273	YMR009W	1
CNAG_05921	YOR245C	1
CNAG_02433	YPR037C	1
CNAG_02183	YNL172W	1
CNAG_04803	YDL195W	1
CNAG_01678	YLR138W	1
CNAG_04207	YKL179C	1
CNAG_01169	YHR113W	1
CNAG_03270	YLR359W	1
CNAG_05758	YBL102W	1
CNAG_00016	YER146W	1
CNAG_04197	YJL141C	1
CNAG_01660	YKR026C	1
CNAG_02174	YPR088C	1
CNAG_01532	YOR109W	1
CNAG_03766	YCR051W	1
CNAG_05152	YNR008W	1
CNAG_05179	YPR191W	1
CNAG_01189	YOR341W	1
CNAG_04734	YOR130C	1
CNAG_01915	YJL026W	1
CNAG_02399	YPL091W	1
CNAG_04838	YLR238W	1
CNAG_01188	YDL065C	1
CNAG_05865	YBL041W	1
CNAG_04179	YDR037W	1
CNAG_04603	YMR048W	1
CNAG_03214	YPL030W	1
CNAG_03985	YPL059W	1
CNAG_04502	YBR074W	1
CNAG_06454	YOR119C	1
CNAG_01531	YJL092W	1
CNAG_02150	YGL192W	1
CNAG_05882	YHL002W	1
CNAG_04257	YOL026C	1
CNAG_03457	YDR341C	1
CNAG_06196	YGR009C	1
CNAG_01626	YDR448W	1
CNAG_05125	YNR043W	1
CNAG_01179	YPR110C	1
CNAG_03439	YGR082W	1
CNAG_02677	YOR091W	1
CNAG_06742	YLR387C	1
CNAG_04074	YGL137W	1
CNAG_02857	YFR022W	1
CNAG_03315	YPR165W	1
CNAG_05496	YOR108W	1
CNAG_01634	YGL099W	1
CNAG_02692	YCL026C-B	1
CNAG_05217	YDR140W	1
CNAG_03299	YDR238C	1
CNAG_01722	YLL040C	1
CNAG_02469	YNR029C	1
CNAG_04230	YPL214C	1
CNAG_04451	YNL221C	1
CNAG_03248	YOR134W	1
CNAG_06792	YOL129W	1
CNAG_06068	YLR357W	1
CNAG_07942	YLR310C	1
CNAG_02495	YLR063W	1
CNAG_01140	YLL008W	1
CNAG_06861	YDR145W	1
CNAG_07539	YOR217W	1
CNAG_07794	YML020W	1
CNAG_02486	YPL237W	1
CNAG_02929	YGR274C	1
CNAG_06906	YPR163C	1
CNAG_04776	YJR139C	1
CNAG_03591	YER136W	1
CNAG_02895	YOR211C	1
CNAG_07333	YOR124C	1
CNAG_02961	YML081C-A	1
CNAG_00992	YDL131W	1
CNAG_01184	YNL011C	1
CNAG_04813	YHR026W	1
CNAG_06490	YPL150W	1
CNAG_01137	YLR304C	1
CNAG_03249	YDR381W	1
CNAG_04622	YGR197C	1
CNAG_02099	YKL182W	1
CNAG_02795	YDR408C	1
CNAG_06626	YGL120C	1
CNAG_02393	YAR014C	1
CNAG_05563	YGL194C	1
CNAG_06345	YAL010C	1
CNAG_00187	YPL072W	1
CNAG_02853	YMR300C	1
CNAG_03473	YLR239C	1
CNAG_05935	YKL024C	1
CNAG_00086	YDR120C	1
CNAG_05748	YPR031W	1
CNAG_04529	YJL003W	1
CNAG_00312	YLR078C	1
CNAG_07510	YHR190W	1
CNAG_07363	YOR136W	1
CNAG_02543	YMR262W	1
CNAG_01472	YPR003C	1
CNAG_03721	YFR052W	1
CNAG_03229	YML027W	1
CNAG_03329	YNL097C	1
CNAG_01209	YFR019W	1
CNAG_03510	YPL249C-A	1
CNAG_04599	YBR176W	1
CNAG_05080	YCR017C	1
CNAG_02845	YPL103C	1
CNAG_03324	YDR484W	1
CNAG_06552	YDR477W	1
CNAG_06434	YDR052C	1
CNAG_02575	YML001W	1
CNAG_02838	YMR188C	1
CNAG_00637	YGR155W	1
CNAG_05137	YBL040C	1
CNAG_00100	YOR027W	1
CNAG_03941	YML092C	1
CNAG_07439	YLR409C	1
CNAG_01755	YJL010C	1
CNAG_05737	YGL114W	1
CNAG_02880	YBR025C	1
CNAG_02382	YOL077C	1
CNAG_06625	YBL058W	1
CNAG_02816	YFR002W	1
CNAG_03003	YLR321C	1
CNAG_01266	YBL022C	1
CNAG_05587	YLR250W	1
CNAG_01608	YER006W	1
CNAG_03395	YKL040C	1
CNAG_02231	YGL091C	1
CNAG_02710	YJL014W	1
CNAG_00441	YML056C	1
CNAG_03926	YLR244C	1
CNAG_02963	YHR166C	1
CNAG_03769	YCL040W	1
CNAG_06021	YDL234C	1
CNAG_03684	YLR188W	1
CNAG_01893	YKR076W	1
CNAG_05851	YGL084C	1
CNAG_00709	YML021C	1
CNAG_06799	YDR047W	1
CNAG_06072	YPR060C	1
CNAG_05931	YJL059W	1
CNAG_02654	YNL262W	1
CNAG_05671	YPL196W	1
CNAG_06240	YCL043C	1
CNAG_00772	YEL037C	1
CNAG_03317	YPL259C	1
CNAG_04147	YHR065C	1
CNAG_04180	YNL284C	1
CNAG_04213	YOR127W	1
CNAG_03996	YEL042W	1
CNAG_05106	YLR281C	1
CNAG_04997	YBR094W	1
CNAG_04625	YEL060C	1
CNAG_05400	YKL100C	1
CNAG_01250	YJL087C	1
CNAG_01507	YML036W	1
CNAG_02107	YPR157W	1
CNAG_01904	YER119C	1
CNAG_06074	YKL071W	1
CNAG_04221	YJL155C	1
CNAG_04817	YAL044W-A	1
CNAG_05976	YOR310C	1
CNAG_04738	YDR129C	1
CNAG_05169	YML054C	1
CNAG_04896	YPL097W	1
CNAG_02135	YDR498C	1
CNAG_05068	YFL038C	1
CNAG_02095	YDL155W	1
CNAG_01338	YER162C	1
CNAG_01090	YNR064C	1
CNAG_05887	YGR006W	1
CNAG_01576	YHR132W-A	1
CNAG_01997	YBR166C	1
CNAG_07163	YER154W	1
CNAG_00793	YBR154C	1
CNAG_04682	YOL146W	1
CNAG_03165	YGR215W	1
CNAG_05130	YBR043C	1
CNAG_04356	YNL313C	1
CNAG_04900	YDR267C	1
CNAG_05692	YJL134W	1
CNAG_00560	YOR332W	1
CNAG_04904	YGL206C	1
CNAG_01682	YNL121C	1
CNAG_02943	YIL105C	1
CNAG_06421	YCL009C	1
CNAG_00473	YOR103C	1
CNAG_02656	YER007C-A	1
CNAG_01791	YHR088W	1
CNAG_06613	YMR161W	1
CNAG_02671	YMR213W	1
CNAG_06423	YOR223W	1
CNAG_05406	YMR055C	1
CNAG_00498	YFR028C	1
