orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation
CNAG_00001			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00002			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00003			drug transporter	Drug transporter	drug transporter	FLU1_CANAL|Major facilitator superfamily multidrug transporter FLU1 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=FLU1 PE=2 SV=1
CNAG_00004			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00005			TPR repeat-containing protein	TPR repeat-containing protein	TPR repeat-containing protein	
CNAG_00006			prohibitin-2	Prohibitin-2	prohibitin-2	PHB2_YEAST|Prohibitin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHB2 PE=1 SV=2
CNAG_00007			methionine-tRNA ligase	Methionine-tRNA ligase	methionine-tRNA ligase	SYMM_SCHPO|Probable methionine--tRNA ligase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC27E2.06c PE=3 SV=1
CNAG_00008			hypothetical protein	Uncharacterized protein	hypothetical protein	STRP1_DANRE|Striatin-interacting protein 1 homolog OS=Danio rerio OX=7955 GN=strip1 PE=1 SV=1
CNAG_00009			calcium-binding protein	Calcium-binding protein	calcium-binding protein	PDCD6_HUMAN|Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1
CNAG_00010			cation transporter	Cation transporter	cation transporter	ALR2_YEAST|Magnesium transporter ALR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ALR2 PE=1 SV=1
CNAG_00011			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00012			hypothetical protein	Uncharacterized protein	hypothetical protein	XDH_HYPJR|D-xylose 1-dehydrogenase (NADP(+)) OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=xyd1 PE=1 SV=1
CNAG_00013			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_00014			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00015			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_00016	LSM5	J9VHR1	U6 snRNA-associated Sm-like protein LSm5	U6 snRNA-associated Sm-like protein LSm5	U6 snRNA-associated Sm-like protein LSm5	LSM5_DICDI|Probable U6 snRNA-associated Sm-like protein LSm5 OS=Dictyostelium discoideum OX=44689 GN=lsm5 PE=3 SV=1
