genes	logFC.AL	FDR.AL	groups	coarse_groups	rank_from_biggest_increase	rank_from_biggest_decrease	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_06758	-1.57330554788263	0.0336169829622772	AMB+LF down only	AMB+LF only	492	1	NA	NA	efflux protein	Efflux protein	efflux protein	PUR8_STRAD|Puromycin resistance protein pur8 OS=Streptomyces alboniger OX=132473 GN=pur8 PE=3 SV=1	NA	NA	NA	NA	NA	NA
CNAG_02155	-1.54057520074446	0.0105929161573669	AMB+LF down only	AMB+LF only	491	2	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_02381	-1.31141511634586	0.041251055102641	AMB+LF down only	AMB+LF only	490	3	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00179	-1.25058734022119	0.00379217042880242	AMB+LF down only	AMB+LF only	489	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNAG_08006	-1.24929660723495	0.00674871636899925	AMB+LF down only	AMB+LF only	488	5	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_02083	-1.22963096639655	0.0124465735552333	AMB+LF down only	AMB+LF only	487	6	SIT2	NA	siderochrome-iron transporter	Siderochrome-iron transporter	siderochrome-iron transporter	MIRA_EMENI|Siderophore iron transporter mirA OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=mirA PE=3 SV=1	NA	NA	NA	NA	NA	NA
CNAG_01358	-1.21612641087986	0.0423908880156392	AMB+LF down only	AMB+LF only	486	7	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_01594	-1.21337191824932	0.00809018068189661	AMB+LF down only	AMB+LF only	485	8	NA	NA	glycine dehydrogenase	Glycine cleavage system P protein (EC 1.4.4.2)	glycine dehydrogenase	GCSP_SCHPO|Putative glycine dehydrogenase (decarboxylating), mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gcv2 PE=3 SV=2	NA	NA	NA	NA	GCV2	Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine decarboxylase complex subunit P) (Glycine dehydrogenase (aminomethyl-transferring))
CNAG_07505	-1.19032249644664	0.0468612377176386	AMB+LF down only	AMB+LF only	484	9	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NA	NA	NA	NA	NA	NA	NA
CNAG_05651	-1.15669115998201	0.0303414269599104	AMB+LF down only	AMB+LF only	483	10	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_01668	-1.06454893624485	0.0198001939311718	AMB+LF down only	AMB+LF only	482	11	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	854	NA	NA
CNAG_04246	-0.999514507540106	0.0217894671867905	AMB+LF down only	AMB+LF only	481	12	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_06907	-0.997300784146323	0.0403778593215473	AMB+LF down only	AMB+LF only	480	13	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NA	NA	NA	NA	NA	NA	NA
CNAG_04142	-0.984612814169303	0.0442432351839449	AMB+LF down only	AMB+LF only	479	14	NA	NA	tartrate transporter	Tartrate transporter	tartrate transporter	YAOI_SCHPO|Uncharacterized transporter C11D3.18C OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC11D3.18c PE=3 SV=1	NA	NA	NA	NA	NA	NA
CNAG_07456	-0.979888934967769	0.0258203006870709	AMB+LF down only	AMB+LF only	478	15	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	NA	NA	NA	NA	NA	NA	NA
CNAG_04109	-0.972025249998549	0.0107104054772003	AMB+LF down only	AMB+LF only	477	16	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_01949	-0.966694018215881	0.00983036463691138	AMB+LF down only	AMB+LF only	476	17	NA	NA	chlorophyll synthesis pathway protein BchC	Chlorophyll synthesis pathway protein BchC	chlorophyll synthesis pathway protein BchC	LAD_NEUCR|L-arabinitol 4-dehydrogenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ard-1 PE=1 SV=1	NA	NA	NA	179	BDH1; BDH2; SOR1; SOR2; XYL2	(R,R)-butanediol dehydrogenase (EC 1.1.1.4); Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303); Sorbitol dehydrogenase 1 (EC 1.1.1.14) (L-iditol 2-dehydrogenase 1); Sorbitol dehydrogenase 2 (EC 1.1.1.14) (L-iditol 2-dehydrogenase 2); D-xylulose reductase (EC 1.1.1.9) (Xylitol dehydrogenase) (XDH)
CNAG_02582	-0.966456543609419	0.0384478704115153	AMB+LF down only	AMB+LF only	475	18	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00418	-0.960898017437045	0.0139461068807203	AMB+LF down only	AMB+LF only	474	19	NA	NA	S-adenosylmethionine synthase	S-adenosylmethionine synthase (EC 2.5.1.6)	S-adenosylmethionine synthase	METK_SCHPO|S-adenosylmethionine synthase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sam1 PE=1 SV=1	NA	NA	NA	NA	SAM1; SAM2	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1); S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)
CNAG_04091	-0.93582166982809	0.0161760181134298	AMB+LF down only	AMB+LF only	473	20	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	880	NA	NA
CNAG_00068	-0.929532188511051	0.0236588040766471	AMB+LF down only	AMB+LF only	472	21	NA	NA	specific RNA polymerase II transcription factor	Specific RNA polymerase II transcription factor	specific RNA polymerase II transcription factor	NA	TRUE	NA	NA	NA	MET32	Transcriptional regulator MET32 (Methionine-requiring protein 32)
CNAG_04095	-0.883160854172293	0.00426679889724162	AMB+LF down only	AMB+LF only	471	22	NA	NA	alpha-L-rhamnosidase	Alpha-L-rhamnosidase	alpha-L-rhamnosidase	NA	NA	NA	NA	NA	NA	NA
CNAG_02338	-0.86081612534924	0.0107104054772003	AMB+LF down only	AMB+LF only	470	23	NA	NA	cellular nucleic acid-binding protein	Cellular nucleic acid-binding protein	cellular nucleic acid-binding protein	NA	NA	NA	NA	NA	GIS2	Zinc finger protein GIS2
CNAG_06329	-0.859904802732704	0.0285976645287745	AMB+LF down only	AMB+LF only	469	24	NA	NA	high-affinity nicotinic acid transporter	High-affinity nicotinic acid transporter	high-affinity nicotinic acid transporter	TNA1_YEAST|High-affinity nicotinic acid transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TNA1 PE=1 SV=1	NA	NA	NA	NA	TNA1	High-affinity nicotinic acid transporter (Nicotinic acid permease)
CNAG_01953	-0.85435576403585	0.00185342571423594	AMB+LF down only	AMB+LF only	468	25	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein	NA	NA	NA	NA	NA	NA	NA
CNAG_00709	-0.852473323555228	0.0203869842410917	AMB+LF down only	AMB+LF only	467	26	UNG1	J9VJQ1	uracil-DNA glycosylase	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	uracil-DNA glycosylase	UNG_SCHPO|Uracil-DNA glycosylase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ung1 PE=3 SV=1	NA	NA	NA	926	UNG1	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)
CNAG_03545	-0.83958466494303	0.0132919454310916	AMB+LF down only	AMB+LF only	466	27	NA	NA	hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	NA	NA	NA	NA	1030	NA	NA
